,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Religious workers, all other",74,4,5,14,11,9,17,14,47.1
Legal occupations,"1,809",6,56,367,419,446,372,144,46.0
Lawyers,"1,092",1,4,205,279,258,232,113,47.1
Judicial law clerks,13,0,2,4,2,2,2,0,–
"Judges, magistrates, and other judicial workers",55,0,0,3,10,13,20,10,53.7
Paralegals and legal assistants,404,2,36,101,83,101,72,9,42.0
Miscellaneous legal support workers,244,3,14,54,45,73,45,11,45.3
"Education, training, and library occupations","8,623",90,579,"2,029","2,008","1,879","1,529",509,43.3
Postsecondary teachers,"1,313",5,100,285,255,248,269,152,45.7
Preschool and kindergarten teachers,695,8,75,195,160,143,91,23,39.6
Elementary and middle school teachers,"3,038",6,132,743,838,683,506,130,43.0
Secondary school teachers,"1,063",2,45,303,258,229,188,36,42.5
Special education teachers,377,3,11,99,96,95,64,10,42.9
Other teachers and instructors,753,32,107,159,136,117,130,71,41.3
"Archivists, curators, and museum technicians",41,0,1,10,6,11,8,5,–
Librarians,194,2,7,27,35,54,53,17,50.5
Library technicians,39,4,9,6,7,5,7,1,–
Teacher assistants,918,26,80,164,178,255,169,47,44.8
"Other education, training, and library workers",192,2,13,37,38,40,46,17,47.4
"Arts, design, entertainment, sports, and media occupations","2,879",77,300,752,594,537,435,183,40.5
Artists and related workers,194,2,7,43,32,34,48,27,49.1
Designers,784,5,64,214,179,170,111,41,41.0
Actors,46,0,13,10,10,10,1,2,–
Producers and directors,150,0,9,46,35,33,24,4,41.2
"Athletes, coaches, umpires, and related workers",288,44,66,57,40,40,28,12,30.9
Dancers and choreographers,19,1,6,6,5,1,0,1,–
"Musicians, singers, and related workers",202,10,11,51,36,30,45,18,44.0
"Entertainers and performers, sports and related workers, all other",35,2,3,12,5,5,8,1,–
Announcers,48,0,7,13,12,9,2,5,–
"News analysts, reporters and correspondents",88,0,10,28,15,10,18,8,41.5
Public relations specialists,149,1,14,48,37,22,22,5,37.4
Editors,150,3,24,34,30,30,22,7,40.0
Technical writers,70,0,2,13,18,20,14,3,46.1
Writers and authors,209,0,14,52,35,47,34,27,45.2
Miscellaneous media and communication workers,90,1,6,24,24,17,13,4,40.4
Broadcast and sound engineering technicians and radio operators,99,2,8,34,18,22,12,2,39.0
Photographers,180,5,19,46,46,26,26,11,40.1
"Television, video, and motion picture camera operators and editors",76,2,16,23,16,9,6,5,34.5
"Media and communication equipment workers, all other",1,0,1,0,0,0,0,0,–
Healthcare practitioners and technical occupations,"8,182",22,408,"2,000","2,010","1,828","1,512",403,43.7
Chiropractors,58,0,0,10,19,15,7,6,44.4
Dentists,183,0,2,28,46,47,42,18,48.7
Dietitians and nutritionists,110,0,7,23,25,25,22,8,45.5
Optometrists,41,0,0,6,8,9,15,3,–
Pharmacists,277,0,11,75,73,55,45,18,42.7
Physicians and surgeons,934,0,5,192,243,213,170,111,46.8
Physician assistants,129,1,7,41,35,22,18,4,39.2
Podiatrists,12,0,0,1,4,3,1,2,–
Audiologists,16,0,0,2,5,3,4,2,–
Occupational therapists,112,0,3,35,35,24,13,2,40.7
Physical therapists,224,0,7,71,57,50,28,10,41.5
Radiation therapists,13,0,1,4,4,2,1,0,–
Recreational therapists,9,0,1,2,2,4,1,0,–
Respiratory therapists,110,0,2,20,25,28,28,7,48.0
Speech-language pathologists,137,0,2,44,34,26,26,5,42.5
Exercise physiologists,6,0,0,1,2,2,1,0,–
"Therapists, all other",147,0,8,45,34,21,31,9,41.8
Veterinarians,87,1,1,16,26,18,24,3,46.8
Registered nurses,"2,892",2,127,685,710,667,597,105,44.2
Nurse anesthetists,24,0,0,3,10,5,6,0,–
Nurse midwives,2,0,0,1,1,0,0,0,–
Nurse practitioners,126,0,0,26,32,36,26,6,45.3
"Health diagnosing and treating practitioners, all other",25,0,0,3,7,10,4,2,–
Clinical laboratory technologists and technicians,340,2,19,87,69,75,72,17,44.4
Dental hygienists,184,0,10,44,46,51,28,5,43.9
Diagnostic related technologists and technicians,362,0,19,107,86,73,70,7,41.9
Emergency medical technicians and paramedics,176,2,26,59,50,26,11,1,34.6
Health practitioner support technologists and technicians,554,11,91,172,110,98,55,16,36.1
Licensed practical and licensed vocational nurses,558,2,35,115,143,141,103,19,43.8
Medical records and health information technicians,88,0,5,12,18,26,21,6,49.8
"Opticians, dispensing",47,0,6,9,8,12,8,4,–
Miscellaneous health technologists and technicians,122,0,8,33,25,31,20,5,43.3
Other healthcare practitioners and technical occupations,76,0,6,25,20,12,12,1,39.6
,,,,,,,,,
Service occupations,"25,929","1,897","3,939","5,774","4,956","4,930","3,241","1,192",37.9
Healthcare support occupations,"3,537",74,529,900,726,708,473,127,39.1
"Nursing, psychiatric, and home health aides","2,134",43,300,495,433,458,315,90,40.4
Occupational therapy assistants and aides,19,0,1,9,3,3,2,1,–
Physical therapist assistants and aides,68,3,15,16,10,15,9,0,33.5
Massage therapists,172,0,21,42,40,33,28,9,41.8
Dental assistants,279,3,43,90,64,56,19,4,36.8
Medical assistants,458,3,91,144,103,63,47,8,35.1
Medical transcriptionists,52,0,2,5,10,14,17,4,52.5
Pharmacy aides,36,2,10,9,3,4,5,3,–
Veterinary assistants and laboratory animal caretakers,40,5,11,14,3,4,3,0,–
Phlebotomists,119,0,12,44,28,25,8,2,37.0
"Miscellaneous healthcare support occupations, including medical equipment preparers",160,13,23,34,30,33,21,6,38.4
Protective service occupations,"3,130",108,246,746,807,706,370,146,40.8
First-line supervisors of correctional officers,36,0,1,10,8,12,4,0,–
First-line supervisors of police and detectives,115,0,1,7,37,48,20,2,47.0
First-line supervisors of fire fighting and prevention workers,58,0,0,8,17,19,12,2,45.6
"First-line supervisors of protective service workers, all other",100,0,1,23,21,29,19,6,47.0
Firefighters,306,3,18,92,95,68,26,3,40.1
Fire inspectors,19,0,1,2,3,7,5,1,–
"Bailiffs, correctional officers, and jailers",413,2,37,96,133,94,40,11,40.1
Detectives and criminal investigators,158,0,2,28,59,41,25,3,43.5
Fish and game wardens,2,0,0,1,0,0,0,0,–
Parking enforcement workers,9,0,0,2,2,2,2,0,–
Police and sheriff's patrol officers,697,2,26,212,235,157,51,14,40.0
Transit and railroad police,1,0,0,1,0,0,0,0,–
Animal control workers,11,0,0,3,4,2,2,0,–
Private detectives and investigators,86,1,3,20,26,16,13,7,43.5
Security guards and gaming surveillance officers,858,13,115,218,142,171,121,77,41.0
Crossing guards,61,1,6,6,12,13,12,11,50.2
Transportation security screeners,28,0,1,6,8,10,3,0,–
"Lifeguards and other recreational, and all other protective service workers",175,85,34,11,7,16,14,9,22.0
Food preparation and serving related occupations,"8,209","1,210","1,971","1,946","1,188","1,057",616,221,29.4
Chefs and head cooks,425,9,46,125,106,92,36,11,38.5
First-line supervisors of food preparation and serving workers,581,27,123,153,106,98,54,20,33.8
Cooks,"1,988",197,371,502,355,305,205,53,33.4
Food preparation workers,885,175,216,183,114,113,58,27,27.8
Bartenders,417,4,85,165,75,44,35,11,31.3
"Combined food preparation and serving workers, including fast food",377,69,101,78,37,49,30,14,27.6
"Counter attendants, cafeteria, food concession, and coffee shop",221,110,57,24,15,7,4,3,21.4
Waiters and waitresses,"2,124",323,708,524,250,196,87,35,26.2
"Food servers, nonrestaurant",229,29,46,41,39,36,26,12,33.2
Dining room and cafeteria attendants and bartender helpers,358,81,66,59,40,54,39,19,30.0
Dishwashers,301,62,61,63,33,47,26,9,29.0
"Hosts and hostesses, restaurant, lounge, and coffee shop",299,124,90,30,18,14,16,8,21.8
"Food preparation and serving related workers, all other",4,2,1,0,0,1,0,0,–
Building and grounds cleaning and maintenance occupations,"5,661",207,457,"1,027","1,220","1,380","1,015",355,44.1
First-line supervisors of housekeeping and janitorial workers,322,1,7,45,72,112,64,20,48.6
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",259,1,10,45,67,77,46,13,45.4
Janitors and building cleaners,"2,275",83,181,364,410,561,495,181,46.8
Maids and housekeeping cleaners,"1,401",38,96,241,342,364,245,76,44.3
Pest control workers,77,1,3,19,25,11,14,4,42.9
Grounds maintenance workers,"1,327",84,161,312,304,254,150,62,38.5
Personal care and service occupations,"5,392",298,736,"1,155","1,015","1,080",767,343,40.0
First-line supervisors of gaming workers,157,2,16,41,39,30,21,7,40.5
First-line supervisors of personal service workers,228,1,11,45,54,65,39,14,44.7
Animal trainers,36,2,3,7,6,9,6,4,–
Nonfarm animal caretakers,175,9,45,49,19,28,21,4,32.1
Gaming services workers,102,2,10,20,24,19,15,12,42.7
Motion picture projectionists,5,0,3,1,0,1,0,0,–
"Ushers, lobby attendants, and ticket takers",39,11,12,6,1,1,5,4,–
Miscellaneous entertainment attendants and related workers,174,42,44,25,12,16,18,16,26.3
Embalmers and funeral attendants,16,0,4,1,3,2,4,2,–
"Morticians, undertakers, and funeral directors",39,0,1,7,7,9,9,6,–
Barbers,127,2,6,35,33,24,16,12,41.2
"Hairdressers, hairstylists, and cosmetologists",786,10,77,217,175,149,108,50,40.3
Miscellaneous personal appearance workers,316,5,26,81,97,62,37,8,40.5
"Baggage porters, bellhops, and concierges",87,1,14,18,13,21,10,9,41.2
Tour and travel guides,45,4,10,7,6,8,7,4,–
Childcare workers,"1,230",122,211,226,200,238,170,62,37.7
Personal care aides,"1,242",31,148,232,212,286,228,105,44.2
Recreation and fitness workers,444,44,71,99,85,91,39,15,36.8
Residential advisors,40,1,9,11,6,8,5,1,–
"Personal care and service workers, all other",105,7,18,29,21,11,10,9,35.3
,,,,,,,,,
Sales and office occupations,"33,246","1,500","4,081","6,891","6,136","7,083","5,596","1,960",41.7
Sales and related occupations,"15,444","1,012","2,216","3,147","2,738","3,007","2,349",975,39.9
First-line supervisors of retail sales workers,"3,223",25,262,750,713,746,528,200,43.0
First-line supervisors of non-retail sales workers,"1,188",2,35,206,286,347,223,89,46.4
Cashiers,"3,254",664,887,592,355,343,289,124,26.7
Counter and rental clerks,101,8,14,15,16,20,22,6,44.1
Parts salespersons,98,1,10,25,19,18,23,2,42.6
Retail salespersons,"3,230",260,739,644,446,476,455,209,34.7
Advertising sales agents,238,4,18,78,51,41,35,11,39.3
Insurance sales agents,602,4,36,148,108,140,117,49,45.6
"Securities, commodities, and financial services sales agents",278,1,18,77,66,66,35,13,41.7
Travel agents,77,0,2,7,15,22,16,16,53.2
"Sales representatives, services, all other",432,4,34,113,96,101,69,14,42.1
"Sales representatives, wholesale and manufacturing","1,319",8,63,258,332,351,241,66,44.9
"Models, demonstrators, and product promoters",82,5,11,19,10,14,10,13,43.2
Real estate brokers and sales agents,769,3,22,105,140,195,195,108,50.7
Sales engineers,36,0,2,7,7,9,11,0,–
Telemarketers,93,6,26,26,10,17,6,2,31.3
"Door-to-door sales workers, news and street vendors, and related workers",191,5,14,36,32,42,38,25,46.7
"Sales and related workers, all other",234,12,25,41,35,57,36,28,44.8
Office and administrative support occupations,"17,802",488,"1,864","3,743","3,398","4,076","3,247",985,43.1
First-line supervisors of office and administrative support workers,"1,363",2,54,262,338,361,286,60,45.7
"Switchboard operators, including answering service",32,1,7,3,6,7,5,3,–
Telephone operators,29,1,3,7,4,7,5,1,–
"Communications equipment operators, all other",3,0,0,0,1,2,0,0,–
Bill and account collectors,177,3,15,54,39,36,23,6,39.4
Billing and posting clerks,497,2,29,105,122,127,87,25,44.0
"Bookkeeping, accounting, and auditing clerks","1,241",5,59,187,236,319,296,138,50.0
Gaming cage workers,14,0,2,4,5,3,0,0,–
Payroll and timekeeping clerks,156,0,6,24,33,46,39,7,47.6
Procurement clerks,27,0,0,5,6,7,8,0,–
Tellers,369,19,101,94,44,50,51,11,30.9
"Financial clerks, all other",55,0,6,10,13,11,11,3,42.7
Brokerage clerks,2,0,0,1,1,0,0,0,–
Correspondence clerks,11,0,1,4,3,1,2,1,–
"Court, municipal, and license clerks",81,0,3,14,16,28,19,2,48.4
"Credit authorizers, checkers, and clerks",40,0,2,10,6,11,10,1,–
Customer service representatives,"2,069",109,306,566,388,380,255,67,36.7
"Eligibility interviewers, government programs",75,1,1,17,17,22,13,4,45.1
File clerks,257,19,34,48,46,50,44,16,40.8
"Hotel, motel, and resort desk clerks",112,5,38,30,12,12,11,4,30.1
"Interviewers, except eligibility and loan",146,2,13,38,26,40,21,6,42.2
"Library assistants, clerical",87,9,15,15,9,16,17,7,39.4
Loan interviewers and clerks,168,0,10,57,43,31,18,8,39.9
New accounts clerks,25,1,2,8,5,4,4,1,–
Order clerks,94,5,12,23,17,18,14,4,37.8
"Human resources assistants, except payroll and timekeeping",133,1,5,37,34,31,20,5,42.6
Receptionists and information clerks,"1,326",63,243,311,206,234,191,79,37.6
Reservation and transportation ticket agents and travel clerks,119,0,9,32,19,31,24,5,44.2
"Information and record clerks, all other",103,2,11,22,16,24,22,7,44.2
Cargo and freight agents,28,0,2,8,7,7,3,0,–
Couriers and messengers,198,4,15,34,41,45,36,22,46.1
Dispatchers,272,4,20,76,65,53,45,9,41.2
"Meter readers, utilities",29,0,5,7,5,3,5,3,–
Postal service clerks,100,0,3,6,18,33,37,3,52.1
Postal service mail carriers,316,1,10,38,69,101,85,13,49.6
"Postal service mail sorters, processors, and processing machine operators",74,1,5,8,11,25,21,3,51.6
"Production, planning, and expediting clerks",282,3,27,47,60,73,61,10,46.1
"Shipping, receiving, and traffic clerks",563,10,81,120,107,141,86,18,41.1
Stock clerks and order fillers,"1,508",121,303,353,226,241,190,72,35.2
"Weighers, measurers, checkers, and samplers, recordkeeping",84,1,4,16,15,22,21,3,46.5
Secretaries and administrative assistants,"2,922",28,135,504,543,821,690,200,48.5
Computer operators,95,1,5,15,21,31,18,4,47.2
Data entry keyers,307,8,39,60,68,62,59,12,41.9
Word processors and typists,101,2,7,20,17,24,22,10,48.4
Desktop publishers,1,0,0,0,0,0,0,1,–
Insurance claims and policy processing clerks,287,2,28,72,62,72,42,10,41.5
"Mail clerks and mail machine operators, except postal service",75,1,6,9,12,19,22,7,50.0
"Office clerks, general","1,184",41,135,237,227,257,202,85,42.7
"Office machine operators, except computer",41,0,5,12,4,10,10,1,–
Proofreaders and copy markers,7,0,0,0,1,2,3,1,–
Statistical assistants,24,0,3,5,5,6,3,2,–
"Office and administrative support workers, all other",494,9,39,110,103,118,91,24,43.9
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,058",295,"1,138","3,052","3,014","3,185","1,929",446,41.9
"Farming, fishing, and forestry occupations",964,89,138,225,189,165,114,44,37.2
"First-line supervisors of farming, fishing, and forestry workers",48,1,3,11,10,12,8,4,–
Agricultural inspectors,12,0,0,1,4,4,1,2,–
Animal breeders,4,0,0,0,2,1,0,1,–
"Graders and sorters, agricultural products",94,3,10,19,21,19,18,4,42.4
Miscellaneous agricultural workers,679,79,112,179,122,98,67,23,33.7
Fishers and related fishing workers,40,2,2,6,9,11,6,5,–
Hunters and trappers,3,0,0,1,1,0,0,1,–
Forest and conservation workers,18,0,2,2,4,4,2,3,–
Logging workers,67,4,9,6,18,17,12,1,42.2
Construction and extraction occupations,"7,130",139,582,"1,755","1,716","1,729",998,213,41.6
First-line supervisors of construction trades and extraction workers,631,0,18,119,155,191,121,26,46.2
Boilermakers,18,0,0,5,5,5,2,0,–
"Brickmasons, blockmasons, and stonemasons",130,2,7,35,43,25,14,4,40.4
Carpenters,"1,164",16,84,292,274,294,162,42,42.2
"Carpet, floor, and tile installers and finishers",142,3,11,38,38,34,16,2,40.3
"Cement masons, concrete finishers, and terrazzo workers",52,2,4,11,14,18,2,1,41.0
Construction laborers,"1,536",55,175,416,346,322,181,41,38.8
"Paving, surfacing, and tamping equipment operators",22,0,3,6,4,3,5,0,–
Pile-driver operators,1,0,0,1,0,0,0,0,–
Operating engineers and other construction equipment operators,352,6,18,74,79,99,68,9,45.1
"Drywall installers, ceiling tile installers, and tapers",126,2,4,43,39,26,10,2,39.6
Electricians,730,8,48,161,191,194,111,17,42.8
Glaziers,37,1,1,13,8,7,6,1,–
Insulation workers,50,1,6,10,15,13,4,1,40.3
"Painters, construction and maintenance",517,12,45,123,125,121,75,15,41.5
Paperhangers,2,0,0,0,0,1,1,1,–
"Pipelayers, plumbers, pipefitters, and steamfitters",553,5,46,141,130,137,79,16,41.6
Plasterers and stucco masons,27,1,5,6,5,9,1,1,–
Reinforcing iron and rebar workers,9,0,2,2,3,1,1,0,–
Roofers,203,6,23,68,55,28,17,7,37.3
Sheet metal workers,113,0,8,23,30,29,18,5,43.2
Structural iron and steel workers,49,2,5,14,14,10,2,2,–
Solar photovoltaic installers,5,0,1,2,0,2,0,0,–
"Helpers, construction trades",63,4,20,14,15,7,2,1,31.3
Construction and building inspectors,101,0,2,8,13,36,34,8,53.3
Elevator installers and repairers,24,0,0,3,4,9,6,1,–
Fence erectors,35,1,2,13,7,8,2,1,–
Hazardous materials removal workers,32,0,4,7,10,6,6,1,–
Highway maintenance workers,97,2,5,17,18,30,22,3,48.1
Rail-track laying and maintenance equipment operators,13,1,1,3,2,4,3,0,–
Septic tank servicers and sewer pipe cleaners,10,0,2,0,6,2,0,0,–
Miscellaneous construction and related workers,29,1,2,7,5,8,4,2,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",43,0,5,15,10,9,5,0,–
"Earth drillers, except oil and gas",33,0,4,9,8,10,2,0,–
"Explosives workers, ordnance handling experts, and blasters",8,0,0,3,2,3,1,0,–
Mining machine operators,58,1,4,23,13,10,8,0,37.4
"Roof bolters, mining",3,0,0,2,0,0,0,0,–
"Roustabouts, oil and gas",12,0,4,3,3,1,1,0,–
Helpers--extraction workers,3,1,1,0,0,1,0,0,–
Other extraction workers,95,7,12,25,26,16,7,3,36.7
"Installation, maintenance, and repair occupations","4,964",67,419,"1,072","1,109","1,291",817,189,43.0
"First-line supervisors of mechanics, installers, and repairers",266,0,8,41,55,87,63,12,48.1
"Computer, automated teller, and office machine repairers",285,2,21,67,82,61,40,12,42.0
Radio and telecommunications equipment installers and repairers,129,1,6,31,28,42,20,2,44.2
Avionics technicians,10,0,2,3,2,3,1,0,–
"Electric motor, power tool, and related repairers",30,0,1,6,4,4,9,5,–
"Electrical and electronics installers and repairers, transportation equipment",7,0,2,0,2,1,1,0,–
"Electrical and electronics repairers, industrial and utility",13,0,0,3,1,6,1,2,–
"Electronic equipment installers and repairers, motor vehicles",23,0,3,5,5,5,5,0,–
Electronic home entertainment equipment installers and repairers,54,0,5,18,12,10,9,0,39.2
Security and fire alarm systems installers,72,0,9,23,14,13,8,5,39.4
Aircraft mechanics and service technicians,162,1,6,27,39,48,36,6,47.5
Automotive body and related repairers,168,4,15,36,36,36,31,10,43.2
Automotive glass installers and repairers,27,0,1,10,9,4,2,1,–
Automotive service technicians and mechanics,863,16,117,195,194,215,99,26,39.4
Bus and truck mechanics and diesel engine specialists,316,6,36,64,67,91,44,8,41.7
Heavy vehicle and mobile equipment service technicians and mechanics,218,3,13,56,50,47,43,7,42.6
Small engine mechanics,41,1,2,15,9,6,8,1,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and  repairers",98,11,22,27,18,12,6,2,30.5
Control and valve installers and repairers,23,0,2,4,3,10,4,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",384,4,34,100,94,89,55,6,41.1
Home appliance repairers,52,0,4,11,10,15,10,3,48.2
Industrial and refractory machinery mechanics,437,3,17,72,93,134,103,16,48.0
