,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
"Agents and business managers of artists, performers, and athletes",52,0,4,18,9,9,11,2,39.8
"Buyers and purchasing agents, farm products",15,0,2,3,3,2,3,2,–
"Wholesale and retail buyers, except farm products",216,2,25,43,51,47,36,11,41.4
"Purchasing agents, except wholesale, retail, and farm products",271,1,13,52,56,72,60,15,47.0
"Claims adjusters, appraisers, examiners, and investigators",311,0,13,68,90,75,52,13,42.9
Compliance officers,239,0,6,46,58,64,52,13,45.4
Cost estimators,105,0,4,24,19,20,30,7,46.7
Human resources workers,615,2,43,172,147,126,93,32,42.1
"Compensation, benefits, and job analysis specialists",71,0,3,21,14,20,12,2,42.6
Training and development specialists,128,1,1,38,29,30,24,4,43.7
Logisticians,100,0,6,31,20,22,18,3,42.2
Management analysts,850,1,38,174,187,199,161,90,46.0
"Meeting, convention, and event planners",156,3,30,49,31,22,16,5,34.3
Fundraisers,92,1,10,23,20,18,17,4,40.5
Market research analysts and marketing specialists,284,0,38,86,68,50,34,9,37.6
"Business operations specialists, all other",194,1,13,47,50,46,31,7,43.0
Accountants and auditors,"1,724",2,94,407,403,417,296,105,44.0
Appraisers and assessors of real estate,95,0,1,20,15,28,22,9,49.8
Budget analysts,48,0,2,12,12,12,9,0,–
Credit analysts,28,0,3,9,6,6,3,1,–
Financial analysts,261,0,27,79,74,38,38,5,38.3
Personal financial advisors,434,1,33,100,101,91,82,27,43.9
Insurance underwriters,113,0,3,33,21,27,26,3,45.5
Financial examiners,16,0,2,3,6,3,2,0,–
Credit counselors and loan officers,288,1,22,74,72,67,46,7,41.8
"Tax examiners and collectors, and revenue agents",70,0,0,15,21,19,11,5,44.1
Tax preparers,103,1,0,17,18,18,22,26,52.2
"Financial specialists, all other",93,0,7,16,24,25,16,5,44.4
Professional and related occupations,"32,879",259,"2,090","8,156","7,807","7,147","5,576","1,845",42.8
Computer and mathematical occupations,"4,303",25,261,"1,190","1,177",989,549,112,41.1
Computer and information research scientists,29,0,1,12,5,5,5,1,–
Computer systems analysts,511,1,37,122,140,120,74,17,41.9
Information security analysts,68,0,4,12,18,17,14,2,44.8
Computer programmers,509,3,31,127,131,130,73,15,42.1
"Software developers, applications and systems software","1,235",2,64,373,360,290,121,26,40.3
Web developers,220,4,23,88,56,27,16,5,36.5
Computer support specialists,524,7,50,142,135,110,66,13,40.3
Database administrators,108,0,1,21,35,23,24,5,45.6
Network and computer systems administrators,205,0,7,53,66,53,23,3,41.6
Computer network architects,123,0,3,33,38,31,12,5,42.3
"Computer occupations, all other",512,9,29,124,135,120,82,13,42.2
Actuaries,28,0,4,12,4,6,2,0,–
Mathematicians,3,0,0,0,0,1,2,0,–
Operations research analysts,138,0,3,36,30,38,27,4,44.1
Statisticians,85,0,4,33,21,17,7,3,38.4
Miscellaneous mathematical science occupations,5,0,0,1,1,2,0,1,–
Architecture and engineering occupations,"2,798",13,195,652,603,660,544,132,44.0
"Architects, except naval",178,0,7,46,44,34,32,15,43.8
"Surveyors, cartographers, and photogrammetrists",41,0,4,12,6,8,8,3,–
Aerospace engineers,147,0,6,31,33,34,38,5,46.9
Agricultural engineers,4,0,0,1,2,1,0,0,–
Biomedical engineers,14,0,1,5,1,4,2,1,–
Chemical engineers,79,0,10,23,10,23,13,1,40.2
Civil engineers,349,0,24,89,64,81,64,27,43.8
Computer hardware engineers,84,0,3,17,24,20,15,4,44.5
Electrical and electronics engineers,271,0,15,62,57,72,51,12,45.3
Environmental engineers,42,0,2,11,13,10,4,2,–
"Industrial engineers, including health and safety",194,0,17,44,35,50,40,8,43.9
Marine engineers and naval architects,9,0,1,2,1,5,0,0,–
Materials engineers,35,0,0,9,8,10,7,1,–
Mechanical engineers,303,0,23,77,72,72,47,12,42.6
"Mining and geological engineers, including mining safety engineers",15,0,1,3,5,4,3,0,–
Nuclear engineers,5,0,1,2,2,0,1,0,–
Petroleum engineers,37,0,1,12,10,6,8,1,–
"Engineers, all other",406,3,14,92,88,96,88,25,45.8
Drafters,138,0,17,26,36,32,24,2,41.7
"Engineering technicians, except drafters",369,5,38,69,75,85,84,12,44.0
Surveying and mapping technicians,77,3,10,17,17,14,15,1,40.6
"Life, physical, and social science occupations","1,355",4,105,336,337,262,213,98,42.4
Agricultural and food scientists,31,0,2,11,7,8,2,1,–
Biological scientists,110,0,9,23,33,19,20,6,42.9
Conservation scientists and foresters,27,0,1,7,8,3,7,1,–
Medical scientists,143,0,7,43,40,24,20,9,41.4
"Life scientists, all other",0,0,0,0,0,0,0,0,–
Astronomers and physicists,12,0,1,2,1,2,3,3,–
Atmospheric and space scientists,7,0,2,1,1,3,1,0,–
Chemists and materials scientists,102,0,6,25,26,24,15,5,41.8
Environmental scientists and geoscientists,91,0,7,17,24,20,19,4,44.8
"Physical scientists, all other",183,0,8,45,53,39,25,13,42.9
Economists,33,0,2,8,12,5,3,3,–
Survey researchers,4,1,0,1,1,0,1,0,–
Psychologists,232,0,2,45,53,46,47,39,48.8
Sociologists,3,0,0,3,0,0,0,0,–
Urban and regional planners,24,0,1,5,8,5,5,1,–
Miscellaneous social scientists and related workers,42,0,3,12,10,8,5,4,–
Agricultural and food science technicians,39,0,2,16,8,8,3,3,–
Biological technicians,25,0,10,7,5,3,0,1,–
Chemical technicians,71,0,6,21,17,13,11,3,39.3
Geological and petroleum technicians,20,0,1,7,2,7,3,0,–
Nuclear technicians,6,0,0,0,1,3,1,1,–
Social science research assistants,2,0,0,0,1,1,0,0,–
"Miscellaneous life, physical, and social science technicians",149,2,37,36,27,22,23,2,35.6
Community and social service occupations,"2,495",20,142,586,588,542,446,172,43.6
Counselors,737,16,50,189,164,144,134,39,42.5
Social workers,799,0,33,219,215,178,117,36,41.8
Probation officers and correctional treatment specialists,100,0,2,24,39,24,11,0,41.5
Social and human service assistants,180,1,16,40,42,36,34,11,42.9
"Miscellaneous community and social service specialists, including health educators and community health workers",114,2,10,27,22,22,23,9,44.0
Clergy,433,1,16,61,80,109,101,67,50.5
"Directors, religious activities and education",64,0,6,18,11,11,15,3,41.9
"Religious workers, all other",68,1,8,9,15,19,10,6,44.6
Legal occupations,"1,814",5,37,388,405,431,387,160,46.3
Lawyers,"1,132",0,5,223,276,254,250,123,47.0
Judicial law clerks,12,0,0,6,3,1,2,0,–
"Judges, magistrates, and other judicial workers",53,0,1,5,7,17,16,8,54.0
Paralegals and legal assistants,417,2,25,110,86,104,72,18,42.6
Miscellaneous legal support workers,200,3,7,45,33,55,47,10,47.3
"Education, training, and library occupations","8,686",97,617,"2,027","2,034","1,857","1,508",545,43.1
Postsecondary teachers,"1,259",5,84,296,229,236,260,150,46.0
Preschool and kindergarten teachers,664,6,67,192,158,135,77,29,39.5
Elementary and middle school teachers,"3,102",8,139,766,855,709,479,146,42.6
Secondary school teachers,"1,099",2,53,296,282,233,189,43,42.7
Special education teachers,336,0,15,78,80,72,80,11,45.2
Other teachers and instructors,836,49,119,182,142,140,129,75,40.3
"Archivists, curators, and museum technicians",47,0,6,6,15,10,7,3,–
Librarians,198,2,6,25,47,41,55,21,49.1
Library technicians,36,6,10,4,4,5,6,1,–
Teacher assistants,904,18,105,142,179,226,185,47,45.0
"Other education, training, and library workers",206,0,14,39,42,50,43,17,46.5
"Arts, design, entertainment, sports, and media occupations","2,935",66,297,760,620,565,440,188,40.9
Artists and related workers,203,2,9,38,37,44,49,24,48.0
Designers,830,5,72,216,187,179,125,46,41.8
Actors,43,3,4,9,10,9,4,4,–
Producers and directors,161,0,15,48,31,35,24,8,40.5
"Athletes, coaches, umpires, and related workers",294,37,61,71,55,33,27,10,31.7
Dancers and choreographers,18,2,6,5,1,2,2,1,–
"Musicians, singers, and related workers",194,4,13,40,37,39,37,24,46.9
"Entertainers and performers, sports and related workers, all other",38,2,6,9,9,3,6,3,–
Announcers,60,0,9,19,15,8,7,2,38.2
"News analysts, reporters and correspondents",80,1,16,30,16,9,5,3,33.6
Public relations specialists,136,0,12,48,31,23,16,5,38.3
Editors,163,2,15,40,35,34,26,11,41.2
Technical writers,61,0,3,14,10,17,15,1,45.7
Writers and authors,221,1,17,49,42,45,44,24,45.3
Miscellaneous media and communication workers,78,0,6,9,23,21,13,7,44.2
Broadcast and sound engineering technicians and radio operators,108,2,16,29,21,26,11,3,39.6
Photographers,174,3,11,64,42,25,18,11,38.9
"Television, video, and motion picture camera operators and editors",72,3,7,22,18,10,11,1,37.9
"Media and communication equipment workers, all other",0,0,0,0,0,0,0,0,–
Healthcare practitioners and technical occupations,"8,493",29,435,"2,218","2,044","1,840","1,490",438,43.0
Chiropractors,66,0,0,12,16,17,14,8,45.7
Dentists,192,0,2,28,51,34,47,30,49.0
Dietitians and nutritionists,123,1,9,34,20,27,25,6,43.3
Optometrists,48,0,0,8,12,12,12,4,–
Pharmacists,293,0,12,90,70,54,47,20,42.0
Physicians and surgeons,"1,014",0,9,224,262,221,189,108,45.8
Physician assistants,84,0,4,34,19,11,14,2,38.7
Podiatrists,8,0,0,1,4,2,1,0,–
Audiologists,20,0,0,6,3,4,4,3,–
Occupational therapists,111,1,3,36,28,26,14,3,40.8
Physical therapists,244,0,5,76,71,57,27,8,41.1
Radiation therapists,17,0,0,4,2,6,5,0,–
Recreational therapists,10,0,0,4,2,2,1,1,–
Respiratory therapists,112,0,1,26,31,25,24,4,43.4
Speech-language pathologists,137,0,2,43,42,25,21,4,41.0
Exercise physiologists,5,0,1,1,1,0,2,0,–
"Therapists, all other",186,0,10,59,51,33,21,12,40.2
Veterinarians,81,0,1,14,23,17,20,6,47.3
Registered nurses,"2,888",2,121,733,687,686,535,124,43.7
Nurse anesthetists,30,0,0,6,12,9,3,0,–
Nurse midwives,4,0,0,1,1,0,1,1,–
Nurse practitioners,128,0,0,31,26,31,32,7,46.6
"Health diagnosing and treating practitioners, all other",24,0,1,4,4,7,5,3,–
Clinical laboratory technologists and technicians,293,1,18,76,66,60,57,15,43.5
Dental hygienists,175,0,8,56,47,37,25,3,40.8
Diagnostic related technologists and technicians,331,0,16,88,84,72,64,8,42.8
Emergency medical technicians and paramedics,232,3,37,86,55,33,14,3,32.4
Health practitioner support technologists and technicians,583,13,87,200,120,92,59,11,35.1
Licensed practical and licensed vocational nurses,641,5,63,140,141,138,126,28,43.3
Medical records and health information technicians,138,0,5,27,30,39,32,6,46.5
"Opticians, dispensing",46,0,2,11,7,10,11,4,–
Miscellaneous health technologists and technicians,123,1,11,27,25,35,20,5,45.0
Other healthcare practitioners and technical occupations,108,0,5,32,30,19,19,3,41.1
,,,,,,,,,
Service occupations,"25,854","1,881","3,960","5,677","4,830","4,872","3,423","1,212",38.1
Healthcare support occupations,"3,461",83,475,854,716,708,487,138,39.7
"Nursing, psychiatric, and home health aides","1,980",51,267,435,370,445,303,107,41.3
Occupational therapy assistants and aides,17,0,1,3,6,4,3,0,–
Physical therapist assistants and aides,70,0,9,22,15,15,9,0,38.5
Massage therapists,172,1,12,41,46,40,26,7,42.4
Dental assistants,273,6,45,78,67,47,24,5,35.9
Medical assistants,508,7,63,173,129,78,50,8,36.5
Medical transcriptionists,58,1,4,6,12,15,17,4,49.8
Pharmacy aides,45,2,10,17,7,5,3,1,–
Veterinary assistants and laboratory animal caretakers,41,5,13,9,6,4,4,0,–
Phlebotomists,118,2,9,33,32,21,18,2,39.3
"Miscellaneous healthcare support occupations, including medical equipment preparers",179,8,41,37,25,33,30,4,37.4
Protective service occupations,"3,140",92,264,743,742,719,416,163,41.1
First-line supervisors of correctional officers,49,0,0,9,15,16,8,1,–
First-line supervisors of police and detectives,126,0,0,5,39,54,24,4,47.2
First-line supervisors of fire fighting and prevention workers,58,0,0,6,17,26,10,0,47.8
"First-line supervisors of protective service workers, all other",91,0,4,20,20,23,17,6,46.7
Firefighters,300,3,14,91,98,68,22,4,39.6
Fire inspectors,13,0,0,5,2,2,3,1,–
"Bailiffs, correctional officers, and jailers",395,4,39,96,93,103,50,11,40.6
Detectives and criminal investigators,164,1,4,33,54,40,28,3,42.9
Fish and game wardens,3,0,1,0,1,1,0,0,–
Parking enforcement workers,10,0,0,1,1,6,2,1,–
Police and sheriff's patrol officers,680,2,32,198,204,178,49,17,40.1
Transit and railroad police,3,0,0,0,1,2,0,0,–
Animal control workers,9,0,2,2,1,1,2,1,–
Private detectives and investigators,98,0,3,25,27,21,16,5,43.1
Security guards and gaming surveillance officers,899,12,122,228,151,149,156,81,41.2
Crossing guards,66,0,6,6,8,11,18,17,54.9
Transportation security screeners,33,1,1,10,9,6,4,3,–
"Lifeguards and other recreational, and all other protective service workers",141,68,37,8,2,10,7,7,21.6
Food preparation and serving related occupations,"8,112","1,240","1,934","1,872","1,191","1,023",634,219,29.5
Chefs and head cooks,430,5,54,124,96,97,47,7,38.3
First-line supervisors of food preparation and serving workers,545,25,106,139,110,95,53,17,35.4
Cooks,"1,992",229,330,504,348,326,198,56,34.3
Food preparation workers,885,167,243,178,107,96,61,33,27.1
Bartenders,416,5,79,161,83,42,33,12,32.3
"Combined food preparation and serving workers, including fast food",428,92,116,76,41,45,38,20,26.4
"Counter attendants, cafeteria, food concession, and coffee shop",254,119,75,26,14,13,5,2,21.4
Waiters and waitresses,"2,054",300,679,492,275,178,102,29,26.6
"Food servers, nonrestaurant",185,22,31,34,24,41,25,8,36.0
Dining room and cafeteria attendants and bartender helpers,375,92,75,60,48,49,36,15,28.6
Dishwashers,246,60,51,43,31,30,25,7,28.1
"Hosts and hostesses, restaurant, lounge, and coffee shop",297,124,93,34,13,12,9,13,21.8
"Food preparation and serving related workers, all other",6,2,1,1,0,0,2,0,–
Building and grounds cleaning and maintenance occupations,"5,803",198,506,"1,081","1,192","1,401","1,089",336,44.3
First-line supervisors of housekeeping and janitorial workers,282,4,6,42,62,92,61,15,47.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",210,2,7,40,55,58,43,6,44.8
Janitors and building cleaners,"2,328",92,213,377,408,561,519,160,46.4
Maids and housekeeping cleaners,"1,514",27,99,282,360,404,258,85,44.8
Pest control workers,80,1,8,19,14,20,16,2,42.9
Grounds maintenance workers,"1,389",73,173,321,293,266,193,70,39.8
Personal care and service occupations,"5,337",267,781,"1,127",989,"1,022",796,355,40.0
First-line supervisors of gaming workers,151,1,14,39,43,22,24,8,41.0
First-line supervisors of personal service workers,202,0,10,40,49,59,31,13,44.6
Animal trainers,41,0,7,4,6,9,12,2,–
Nonfarm animal caretakers,201,17,47,50,24,36,21,7,31.6
Gaming services workers,99,3,10,22,25,18,16,5,40.7
Motion picture projectionists,4,0,0,2,1,0,0,0,–
"Ushers, lobby attendants, and ticket takers",54,16,18,5,0,3,5,7,22.7
Miscellaneous entertainment attendants and related workers,189,38,53,35,14,16,14,19,26.4
Embalmers and funeral attendants,13,0,1,2,1,1,4,3,–
"Morticians, undertakers, and funeral directors",29,0,1,8,3,6,4,6,–
Barbers,110,0,6,29,32,19,12,11,42.3
"Hairdressers, hairstylists, and cosmetologists",760,8,93,193,154,154,102,55,40.6
Miscellaneous personal appearance workers,296,3,28,81,86,63,27,7,39.0
"Baggage porters, bellhops, and concierges",85,2,11,20,12,22,12,6,41.9
Tour and travel guides,54,6,15,7,9,5,7,7,32.9
Childcare workers,"1,218",107,216,251,183,209,195,56,37.4
Personal care aides,"1,254",24,148,221,220,290,238,114,45.1
Recreation and fitness workers,404,29,71,79,91,71,51,12,37.1
Residential advisors,43,4,13,9,6,3,5,3,–
"Personal care and service workers, all other",131,7,21,28,31,16,16,13,38.0
,,,,,,,,,
Sales and office occupations,"33,416","1,572","4,066","6,897","6,092","7,115","5,650","2,023",41.8
Sales and related occupations,"15,646","1,056","2,171","3,220","2,698","3,102","2,364","1,035",40.2
First-line supervisors of retail sales workers,"3,285",26,288,766,708,780,525,192,43.0
First-line supervisors of non-retail sales workers,"1,200",2,39,191,298,332,243,95,47.4
Cashiers,"3,242",681,855,566,334,374,304,129,27.0
Counter and rental clerks,113,8,23,29,20,16,15,3,34.7
Parts salespersons,93,3,9,28,9,18,21,5,41.9
Retail salespersons,"3,316",293,668,713,421,526,476,217,35.7
Advertising sales agents,227,2,24,71,42,47,32,9,39.4
Insurance sales agents,562,0,28,117,113,132,122,50,46.1
"Securities, commodities, and financial services sales agents",256,0,11,81,64,61,27,12,41.1
Travel agents,82,0,3,10,15,25,17,11,50.9
"Sales representatives, services, all other",480,3,39,132,105,104,74,22,41.4
"Sales representatives, wholesale and manufacturing","1,309",12,83,276,274,343,232,89,44.9
"Models, demonstrators, and product promoters",66,6,9,10,9,10,8,14,44.5
Real estate brokers and sales agents,868,3,33,109,174,223,190,138,50.7
Sales engineers,43,0,2,7,11,12,9,2,–
Telemarketers,75,4,16,19,15,10,6,4,34.7
"Door-to-door sales workers, news and street vendors, and related workers",175,6,14,43,36,39,20,18,42.8
"Sales and related workers, all other",253,8,28,52,48,50,42,26,43.1
Office and administrative support occupations,"17,771",517,"1,895","3,677","3,394","4,013","3,286",989,43.1
First-line supervisors of office and administrative support workers,"1,351",3,46,255,347,362,272,64,45.6
"Switchboard operators, including answering service",19,0,4,5,3,1,5,2,–
Telephone operators,33,0,8,4,8,8,3,2,–
"Communications equipment operators, all other",9,0,1,3,2,0,2,1,–
Bill and account collectors,165,2,23,39,42,29,27,4,40.1
Billing and posting clerks,507,3,29,104,117,139,91,24,44.9
"Bookkeeping, accounting, and auditing clerks","1,231",8,54,172,240,333,291,135,49.6
Gaming cage workers,14,0,1,4,5,1,2,0,–
Payroll and timekeeping clerks,146,0,7,28,30,42,33,5,46.3
Procurement clerks,31,0,3,5,6,8,7,0,–
Tellers,361,10,96,105,53,47,37,14,31.0
"Financial clerks, all other",65,0,5,16,13,20,9,3,41.7
Brokerage clerks,5,0,0,2,1,1,1,0,–
Correspondence clerks,6,1,1,2,0,1,1,0,–
"Court, municipal, and license clerks",69,1,2,9,14,23,13,7,49.1
"Credit authorizers, checkers, and clerks",44,0,5,17,5,11,3,2,–
Customer service representatives,"2,086",122,341,531,373,377,277,66,36.4
"Eligibility interviewers, government programs",70,1,0,14,22,16,15,2,45.3
File clerks,226,11,29,40,40,51,35,20,42.9
"Hotel, motel, and resort desk clerks",120,7,31,34,20,14,10,4,30.0
"Interviewers, except eligibility and loan",160,1,11,48,30,34,21,13,41.2
"Library assistants, clerical",98,7,16,17,14,16,16,12,40.2
Loan interviewers and clerks,143,1,15,46,32,27,16,6,39.2
New accounts clerks,27,1,1,9,7,7,3,1,–
Order clerks,104,3,17,35,15,17,14,4,33.8
"Human resources assistants, except payroll and timekeeping",101,0,7,25,21,28,15,4,42.8
Receptionists and information clerks,"1,301",64,232,327,195,212,200,72,37.0
Reservation and transportation ticket agents and travel clerks,94,1,13,20,14,22,21,3,42.4
"Information and record clerks, all other",95,1,4,27,16,21,17,9,43.9
Cargo and freight agents,23,0,3,5,5,4,6,0,–
Couriers and messengers,233,6,18,41,53,49,52,14,45.5
Dispatchers,267,6,23,71,64,58,39,6,40.7
"Meter readers, utilities",23,3,0,3,6,5,5,2,–
Postal service clerks,117,1,8,9,16,34,46,3,52.3
Postal service mail carriers,311,1,10,35,55,109,85,16,51.3
"Postal service mail sorters, processors, and processing machine operators",61,1,5,5,10,15,23,1,50.7
"Production, planning, and expediting clerks",244,1,15,42,58,65,53,10,45.9
"Shipping, receiving, and traffic clerks",606,13,69,151,114,130,102,29,41.5
Stock clerks and order fillers,"1,483",123,312,306,230,253,188,71,34.8
"Weighers, measurers, checkers, and samplers, recordkeeping",75,1,7,21,13,18,14,2,41.8
Secretaries and administrative assistants,"2,995",34,160,504,576,805,727,190,48.0
Computer operators,87,1,4,21,17,26,14,5,46.3
Data entry keyers,292,7,30,71,53,67,50,15,41.4
Word processors and typists,101,2,11,20,24,20,17,7,43.8
Desktop publishers,2,0,0,0,0,1,0,1,–
Insurance claims and policy processing clerks,288,3,22,62,72,68,50,12,43.7
"Mail clerks and mail machine operators, except postal service",79,2,13,15,13,15,18,3,42.2
"Office clerks, general","1,230",51,140,225,214,276,238,86,44.3
"Office machine operators, except computer",39,2,4,9,4,11,7,2,–
Proofreaders and copy markers,10,0,1,1,0,3,4,1,–
Statistical assistants,23,0,4,4,5,6,4,1,–
"Office and administrative support workers, all other",497,13,36,113,106,109,94,27,43.3
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,537",283,"1,158","3,308","3,100","3,172","2,063",453,41.7
"Farming, fishing, and forestry occupations","1,022",77,113,246,201,192,141,50,39.1
"First-line supervisors of farming, fishing, and forestry workers",44,0,2,6,12,8,10,7,–
Agricultural inspectors,17,0,0,4,2,5,4,1,–
Animal breeders,6,0,1,1,1,2,0,1,–
"Graders and sorters, agricultural products",93,2,10,26,24,15,14,2,39.4
Miscellaneous agricultural workers,739,71,94,185,138,130,90,31,37.2
Fishers and related fishing workers,32,2,2,5,4,11,7,2,–
Hunters and trappers,2,0,0,1,0,0,0,1,–
Forest and conservation workers,18,0,1,3,6,1,5,1,–
Logging workers,71,2,4,15,14,20,11,5,44.2
Construction and extraction occupations,"7,637",139,649,"1,941","1,824","1,773","1,084",226,41.2
First-line supervisors of construction trades and extraction workers,696,1,19,132,157,204,152,30,46.9
Boilermakers,17,0,3,4,4,4,1,0,–
"Brickmasons, blockmasons, and stonemasons",142,3,9,45,37,24,18,6,39.4
Carpenters,"1,282",21,109,311,313,302,185,40,41.4
"Carpet, floor, and tile installers and finishers",170,2,11,48,41,39,26,3,42.5
"Cement masons, concrete finishers, and terrazzo workers",58,1,4,14,18,16,2,3,40.8
Construction laborers,"1,686",57,187,469,389,347,191,46,38.9
"Paving, surfacing, and tamping equipment operators",19,0,1,6,3,6,3,0,–
Pile-driver operators,1,0,0,1,0,1,0,0,–
Operating engineers and other construction equipment operators,336,2,22,75,74,82,68,13,44.3
"Drywall installers, ceiling tile installers, and tapers",162,1,9,47,59,31,13,2,39.8
Electricians,769,9,62,187,198,199,94,20,41.2
Glaziers,35,0,1,9,10,8,5,2,–
Insulation workers,44,0,2,16,10,9,6,0,–
"Painters, construction and maintenance",561,8,47,131,144,143,72,16,41.8
Paperhangers,4,0,1,0,0,2,1,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",564,9,40,139,141,124,93,19,42.3
Plasterers and stucco masons,31,1,1,11,7,7,5,0,–
Reinforcing iron and rebar workers,9,0,2,5,1,1,0,0,–
Roofers,206,6,21,79,50,33,17,1,36.1
Sheet metal workers,110,1,10,21,24,29,22,3,44.1
Structural iron and steel workers,52,1,5,15,9,14,8,1,41.2
Solar photovoltaic installers,14,0,2,6,2,3,1,0,–
"Helpers, construction trades",57,6,16,13,10,6,5,1,29.6
Construction and building inspectors,78,0,1,7,17,22,24,6,51.4
Elevator installers and repairers,22,0,0,9,4,4,3,1,–
Fence erectors,33,1,3,11,8,8,2,1,–
Hazardous materials removal workers,23,0,4,3,5,7,2,2,–
Highway maintenance workers,123,1,6,19,23,39,28,6,47.5
Rail-track laying and maintenance equipment operators,17,0,1,4,4,2,4,1,–
Septic tank servicers and sewer pipe cleaners,14,0,1,4,4,4,1,0,–
Miscellaneous construction and related workers,33,1,4,12,6,6,4,2,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",54,1,8,23,10,8,5,0,33.1
"Earth drillers, except oil and gas",29,1,2,8,8,8,3,0,–
"Explosives workers, ordnance handling experts, and blasters",5,0,0,1,0,2,1,0,–
Mining machine operators,68,1,11,17,13,14,10,0,39.0
"Roof bolters, mining",3,0,0,2,0,0,0,0,–
"Roustabouts, oil and gas",11,2,2,4,1,2,0,0,–
Helpers--extraction workers,7,0,2,1,2,2,0,0,–
Other extraction workers,92,3,19,29,19,14,7,2,32.2
"Installation, maintenance, and repair occupations","4,879",66,396,"1,122","1,075","1,206",838,176,43.0
"First-line supervisors of mechanics, installers, and repairers",284,0,3,40,69,93,67,11,48.5
"Computer, automated teller, and office machine repairers",265,5,22,68,64,57,44,5,41.7
Radio and telecommunications equipment installers and repairers,134,1,12,29,33,30,27,3,43.5
Avionics technicians,8,0,0,2,0,3,2,0,–
"Electric motor, power tool, and related repairers",35,0,4,8,8,7,6,2,–
"Electrical and electronics installers and repairers, transportation equipment",5,0,1,1,1,1,1,1,–
"Electrical and electronics repairers, industrial and utility",15,0,0,4,2,6,2,0,–
"Electronic equipment installers and repairers, motor vehicles",17,0,0,5,4,4,4,0,–
Electronic home entertainment equipment installers and repairers,34,0,2,13,10,5,3,1,–
Security and fire alarm systems installers,58,0,3,20,10,15,8,1,40.7
Aircraft mechanics and service technicians,127,0,6,35,22,37,21,5,45.4
Automotive body and related repairers,133,3,14,30,26,38,17,5,41.7
Automotive glass installers and repairers,21,1,2,6,5,3,2,1,–
Automotive service technicians and mechanics,883,17,96,222,214,198,111,25,40.0
Bus and truck mechanics and diesel engine specialists,323,4,32,78,66,86,44,13,42.0
Heavy vehicle and mobile equipment service technicians and mechanics,211,1,23,54,40,51,30,12,42.0
Small engine mechanics,50,2,4,19,8,9,6,2,37.9
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",93,6,23,21,19,13,9,2,32.8
Control and valve installers and repairers,19,0,2,5,4,4,4,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",378,5,32,93,99,74,64,11,41.7
Home appliance repairers,51,0,2,10,9,16,10,4,49.6
Industrial and refractory machinery mechanics,454,3,23,84,96,129,103,16,46.6
