Librarians,166,1,4,25,35,44,39,18,48.6
Library technicians,31,6,3,5,5,4,5,2,–
Teacher assistants,960,21,113,154,183,241,202,46,44.3
"Other education, training, and library workers",161,3,13,30,40,34,25,15,45.0
"Arts, design, entertainment, sports, and media occupations","3,051",79,248,783,662,592,464,223,41.5
Artists and related workers,222,0,10,39,41,60,50,23,48.6
Designers,899,7,63,257,197,186,127,62,41.9
Actors,49,2,5,14,10,8,7,4,–
Producers and directors,169,1,9,55,38,37,25,4,40.4
"Athletes, coaches, umpires, and related workers",296,52,50,68,57,32,28,10,31.2
Dancers and choreographers,19,1,5,7,3,2,0,1,–
"Musicians, singers, and related workers",202,3,12,42,41,28,46,28,46.7
"Entertainers and performers, sports and related workers, all other",41,2,7,12,9,5,2,4,–
Announcers,55,1,4,11,15,10,12,2,42.8
"News analysts, reporters and correspondents",68,0,2,20,14,16,9,6,44.1
Public relations specialists,147,0,10,51,31,27,21,8,40.2
Editors,160,2,9,36,47,26,27,13,42.4
Technical writers,68,0,2,11,16,17,16,5,46.1
Writers and authors,208,1,12,34,41,55,36,28,46.8
Miscellaneous media and communication workers,84,0,7,16,19,21,14,7,43.5
Broadcast and sound engineering technicians and radio operators,119,3,11,31,26,30,14,4,40.5
Photographers,180,4,18,57,45,23,23,11,38.0
"Television, video, and motion picture camera operators and editors",64,1,13,21,12,9,6,2,34.5
"Media and communication equipment workers, all other",2,0,0,0,0,1,1,0,–
Healthcare practitioners and technical occupations,"8,766",33,487,"2,295","2,064","1,916","1,546",425,42.9
Chiropractors,75,0,2,10,18,24,14,7,49.1
Dentists,196,0,1,31,49,38,51,26,48.9
Dietitians and nutritionists,108,0,8,26,18,23,27,6,45.3
Optometrists,39,0,0,12,7,11,4,3,–
Pharmacists,282,0,15,87,61,52,51,16,42.1
Physicians and surgeons,"1,007",0,2,223,256,231,192,103,46.1
Physician assistants,74,0,5,29,19,8,10,3,38.3
Podiatrists,15,0,2,2,4,3,3,1,–
Audiologists,16,0,0,6,2,5,2,1,–
Occupational therapists,116,0,1,38,31,29,13,3,40.6
Physical therapists,274,0,6,84,68,68,40,9,42.0
Radiation therapists,13,0,0,5,1,4,2,1,–
Recreational therapists,11,0,2,3,3,1,2,0,–
Respiratory therapists,108,0,1,29,25,32,18,3,43.2
Speech-language pathologists,158,0,9,49,43,28,23,5,40.9
Exercise physiologists,5,0,1,2,1,1,1,0,–
"Therapists, all other",189,1,15,60,39,37,26,12,40.9
Veterinarians,90,1,0,24,23,18,17,6,44.1
Registered nurses,"2,973",7,121,715,727,705,577,120,44.0
Nurse anesthetists,27,0,0,7,8,4,6,1,–
Nurse midwives,7,0,0,3,0,2,2,0,–
Nurse practitioners,149,0,3,37,42,26,36,6,43.6
"Health diagnosing and treating practitioners, all other",17,0,0,1,4,4,5,3,–
Clinical laboratory technologists and technicians,327,1,29,90,72,57,62,17,42.0
Dental hygienists,177,1,11,47,52,38,25,4,41.1
Diagnostic related technologists and technicians,322,1,13,90,82,78,49,9,42.5
Emergency medical technicians and paramedics,220,3,36,83,50,34,10,3,33.5
Health practitioner support technologists and technicians,626,7,112,221,116,97,61,12,34.5
Licensed practical and licensed vocational nurses,670,6,65,165,138,150,117,29,42.4
Medical records and health information technicians,200,3,11,43,41,52,45,5,45.5
"Opticians, dispensing",52,0,3,9,14,13,11,2,44.5
Miscellaneous health technologists and technicians,117,1,8,29,27,26,23,4,43.7
Other healthcare practitioners and technical occupations,108,0,5,35,25,16,22,5,41.9
,,,,,,,,,
Service occupations,"25,896","1,964","3,890","5,722","4,781","4,763","3,504","1,272",38.0
Healthcare support occupations,"3,514",94,459,962,713,685,460,141,38.9
"Nursing, psychiatric, and home health aides","2,032",66,257,497,414,420,284,93,40.0
Occupational therapy assistants and aides,23,0,6,8,5,2,2,1,–
Physical therapist assistants and aides,68,1,8,25,13,14,5,2,36.6
Massage therapists,189,1,11,64,42,31,30,10,40.8
Dental assistants,286,5,43,91,62,54,25,6,35.8
Medical assistants,524,6,71,181,110,91,51,13,36.8
Medical transcriptionists,42,0,4,4,3,13,12,5,–
Pharmacy aides,36,1,6,11,7,3,5,2,–
Veterinary assistants and laboratory animal caretakers,38,3,10,9,10,4,2,1,–
Phlebotomists,106,2,11,29,22,21,18,3,39.0
"Miscellaneous healthcare support occupations, including medical equipment preparers",170,8,32,42,25,33,25,6,37.1
Protective service occupations,"3,109",100,273,723,720,702,430,161,41.1
First-line supervisors of correctional officers,52,0,0,11,11,22,8,0,46.6
First-line supervisors of police and detectives,110,0,0,8,30,52,15,5,48.1
First-line supervisors of fire fighting and prevention workers,49,0,0,3,12,16,16,1,–
"First-line supervisors of protective service workers, all other",81,0,0,13,14,24,19,11,51.5
Firefighters,293,2,14,90,96,63,22,6,39.7
Fire inspectors,19,0,0,8,3,4,3,1,–
"Bailiffs, correctional officers, and jailers",443,5,54,117,102,106,49,10,38.7
Detectives and criminal investigators,144,0,3,25,43,44,25,3,44.9
Fish and game wardens,6,0,0,2,2,1,1,0,–
Parking enforcement workers,10,0,0,2,1,2,4,1,–
Police and sheriff's patrol officers,688,1,39,191,215,165,61,16,40.5
Transit and railroad police,1,0,0,0,1,1,0,0,–
Animal control workers,5,0,1,1,2,0,0,0,–
Private detectives and investigators,100,0,4,23,24,18,20,10,44.1
Security guards and gaming surveillance officers,869,18,114,202,142,163,160,72,41.8
Crossing guards,57,0,4,5,9,6,16,17,55.3
Transportation security screeners,38,0,4,12,5,11,5,1,–
"Lifeguards and other recreational, and all other protective service workers",144,74,36,10,8,5,5,6,21.4
Food preparation and serving related occupations,"8,142","1,281","1,917","1,837","1,181","1,048",648,230,29.5
Chefs and head cooks,415,8,43,124,99,79,53,10,39.1
First-line supervisors of food preparation and serving workers,527,21,95,141,89,103,63,15,36.5
Cooks,"2,091",251,371,483,371,362,180,73,33.6
Food preparation workers,858,172,206,152,111,112,75,30,28.4
Bartenders,451,3,82,174,91,59,32,11,32.6
"Combined food preparation and serving workers, including fast food",420,95,126,69,39,38,34,18,24.5
"Counter attendants, cafeteria, food concession, and coffee shop",233,116,51,27,16,11,7,5,21.7
Waiters and waitresses,"2,057",310,686,522,241,155,113,30,26.2
"Food servers, nonrestaurant",190,22,35,34,31,34,24,10,36.3
Dining room and cafeteria attendants and bartender helpers,321,93,61,44,36,41,31,13,26.5
Dishwashers,281,62,64,39,39,44,25,8,29.3
"Hosts and hostesses, restaurant, lounge, and coffee shop",293,127,95,28,17,11,10,6,21.5
"Food preparation and serving related workers, all other",5,1,0,1,0,0,1,2,–
Building and grounds cleaning and maintenance occupations,"5,716",191,469,"1,064","1,144","1,350","1,136",361,44.4
First-line supervisors of housekeeping and janitorial workers,293,0,9,48,63,84,69,20,47.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",215,1,12,47,56,53,37,9,43.9
Janitors and building cleaners,"2,263",75,174,375,384,535,543,178,47.4
Maids and housekeeping cleaners,"1,510",36,99,243,355,413,284,81,45.0
Pest control workers,85,3,5,20,18,21,14,4,41.6
Grounds maintenance workers,"1,349",76,170,332,269,244,190,69,38.8
Personal care and service occupations,"5,415",297,772,"1,136","1,023",978,830,378,39.9
First-line supervisors of gaming workers,168,6,10,41,43,32,23,14,41.0
First-line supervisors of personal service workers,185,0,4,44,50,41,34,12,44.7
Animal trainers,54,1,4,12,12,8,14,3,44.6
Nonfarm animal caretakers,252,20,56,58,38,41,29,10,33.4
Gaming services workers,89,1,7,17,21,17,19,6,43.7
Motion picture projectionists,6,0,1,1,2,2,0,1,–
"Ushers, lobby attendants, and ticket takers",44,12,15,6,2,2,2,5,–
Miscellaneous entertainment attendants and related workers,221,52,62,35,15,16,21,21,25.5
Embalmers and funeral attendants,9,0,1,1,3,1,1,3,–
"Morticians, undertakers, and funeral directors",35,0,1,6,7,8,8,5,–
Barbers,116,1,4,28,38,24,11,10,42.1
"Hairdressers, hairstylists, and cosmetologists",707,6,80,182,154,133,97,55,40.8
Miscellaneous personal appearance workers,324,2,26,74,102,78,34,7,39.8
"Baggage porters, bellhops, and concierges",76,2,11,19,13,19,8,3,39.4
Tour and travel guides,54,3,14,6,10,6,8,8,38.4
Childcare workers,"1,206",113,236,250,179,182,176,70,35.6
Personal care aides,"1,251",29,140,226,215,269,263,109,45.9
Recreation and fitness workers,429,35,65,86,83,73,65,22,38.1
Residential advisors,38,5,13,6,5,4,5,1,–
"Personal care and service workers, all other",149,8,22,42,33,21,12,11,36.3
,,,,,,,,,
Sales and office occupations,"33,598","1,617","4,181","7,017","6,016","6,940","5,738","2,090",41.5
Sales and related occupations,"15,700","1,113","2,118","3,215","2,667","3,057","2,459","1,071",40.2
First-line supervisors of retail sales workers,"3,245",29,274,750,689,766,544,192,43.0
First-line supervisors of non-retail sales workers,"1,242",4,29,195,297,359,277,81,47.9
Cashiers,"3,246",714,833,594,302,355,310,139,26.8
Counter and rental clerks,109,10,16,29,17,20,10,7,35.5
Parts salespersons,124,4,22,28,23,18,22,7,38.3
Retail salespersons,"3,346",304,668,710,461,483,473,247,35.2
Advertising sales agents,200,1,18,54,41,47,28,11,40.6
Insurance sales agents,615,3,35,126,116,155,113,68,46.5
"Securities, commodities, and financial services sales agents",258,1,19,59,58,61,45,15,43.6
Travel agents,89,0,2,18,11,21,26,11,50.9
"Sales representatives, services, all other",479,7,35,119,118,103,81,17,41.5
"Sales representatives, wholesale and manufacturing","1,281",10,69,276,253,341,256,77,45.8
"Models, demonstrators, and product promoters",68,4,14,10,11,5,9,15,39.8
Real estate brokers and sales agents,906,5,32,134,187,204,196,148,49.9
Sales engineers,42,0,0,8,11,14,7,3,–
Telemarketers,60,4,14,19,6,7,6,2,31.6
"Door-to-door sales workers, news and street vendors, and related workers",156,3,15,37,28,40,21,11,42.4
"Sales and related workers, all other",236,11,23,49,39,59,34,21,42.9
Office and administrative support occupations,"17,897",504,"2,063","3,801","3,349","3,883","3,278","1,020",42.5
First-line supervisors of office and administrative support workers,"1,474",5,61,274,353,397,315,68,45.8
"Switchboard operators, including answering service",16,0,2,3,3,3,3,2,–
Telephone operators,34,0,10,6,7,3,6,1,–
"Communications equipment operators, all other",5,0,0,2,0,1,1,0,–
Bill and account collectors,168,1,16,45,49,23,28,6,39.8
Billing and posting clerks,473,3,24,98,119,125,79,25,44.3
"Bookkeeping, accounting, and auditing clerks","1,182",4,59,164,229,302,284,140,49.6
Gaming cage workers,14,0,4,4,2,1,2,0,–
Payroll and timekeeping clerks,138,1,9,23,31,45,24,6,45.6
Procurement clerks,40,0,6,6,4,10,11,2,–
Tellers,357,10,92,102,46,56,40,12,31.4
"Financial clerks, all other",69,0,6,18,13,19,9,3,40.5
Brokerage clerks,3,0,0,1,1,1,0,0,–
Correspondence clerks,3,0,1,2,1,0,0,0,–
"Court, municipal, and license clerks",71,0,2,15,15,18,16,6,46.7
"Credit authorizers, checkers, and clerks",52,1,3,15,12,13,7,1,41.1
Customer service representatives,"2,271",124,403,583,390,402,287,83,35.8
"Eligibility interviewers, government programs",74,0,2,19,21,14,15,4,43.4
File clerks,203,11,28,45,35,36,31,17,40.3
"Hotel, motel, and resort desk clerks",156,5,37,58,24,15,11,6,30.3
"Interviewers, except eligibility and loan",151,3,22,33,28,33,23,10,40.9
"Library assistants, clerical",98,8,23,15,13,20,10,9,37.2
Loan interviewers and clerks,139,0,9,42,40,26,18,4,40.6
New accounts clerks,26,1,3,6,4,4,8,0,–
Order clerks,84,2,9,23,17,15,14,4,40.5
"Human resources assistants, except payroll and timekeeping",59,0,8,17,13,12,7,2,37.9
Receptionists and information clerks,"1,232",52,222,278,200,203,188,89,38.2
Reservation and transportation ticket agents and travel clerks,111,2,14,28,20,25,18,4,42.2
"Information and record clerks, all other",127,1,15,27,27,27,24,6,41.6
Cargo and freight agents,21,0,2,4,3,7,4,0,–
Couriers and messengers,235,7,21,51,41,58,44,12,43.7
Dispatchers,277,3,28,72,63,67,37,8,40.9
"Meter readers, utilities",41,1,4,6,11,12,5,1,–
Postal service clerks,130,0,9,15,16,33,48,8,51.8
Postal service mail carriers,320,2,10,54,50,100,93,13,50.0
"Postal service mail sorters, processors, and processing machine operators",64,0,6,7,8,23,17,3,49.9
"Production, planning, and expediting clerks",286,2,19,68,63,72,56,7,43.2
"Shipping, receiving, and traffic clerks",575,11,78,145,110,117,91,22,40.4
Stock clerks and order fillers,"1,529",142,325,331,223,256,187,65,34.0
"Weighers, measurers, checkers, and samplers, recordkeeping",72,1,7,18,17,17,11,0,39.8
Secretaries and administrative assistants,"2,870",20,169,497,552,724,687,221,48.2
Computer operators,69,0,5,15,14,17,15,2,44.9
Data entry keyers,281,7,34,75,52,50,45,19,40.4
Word processors and typists,103,2,7,15,20,21,28,11,49.2
Desktop publishers,1,0,0,0,0,0,0,1,–
Insurance claims and policy processing clerks,287,1,23,76,62,59,53,12,42.3
"Mail clerks and mail machine operators, except postal service",81,2,10,10,10,21,24,4,49.6
"Office clerks, general","1,288",57,173,255,219,256,245,84,42.2
"Office machine operators, except computer",37,1,4,7,6,13,5,1,–
Proofreaders and copy markers,8,0,0,1,1,0,4,1,–
Statistical assistants,17,0,4,2,5,2,4,0,–
"Office and administrative support workers, all other",477,7,35,126,87,108,94,19,42.8
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,733",293,"1,169","3,248","3,258","3,099","2,187",478,41.7
"Farming, fishing, and forestry occupations","1,073",78,113,268,226,193,145,50,38.6
"First-line supervisors of farming, fishing, and forestry workers",54,0,3,14,10,9,13,4,45.5
Agricultural inspectors,18,0,1,5,2,3,6,1,–
Animal breeders,8,0,0,3,2,1,1,1,–
"Graders and sorters, agricultural products",97,3,10,27,20,16,18,2,39.2
Miscellaneous agricultural workers,789,71,93,198,167,135,89,36,37.1
Fishers and related fishing workers,39,3,3,8,7,11,7,0,–
Hunters and trappers,0,0,0,0,0,0,0,0,–
Forest and conservation workers,18,1,1,5,4,4,2,1,–
Logging workers,51,0,3,9,13,15,7,5,43.5
Construction and extraction occupations,"7,652",142,630,"1,857","1,918","1,702","1,155",248,41.5
First-line supervisors of construction trades and extraction workers,712,3,18,120,180,215,147,28,47.0
Boilermakers,20,0,1,5,5,4,5,0,–
"Brickmasons, blockmasons, and stonemasons",172,3,11,54,49,31,20,5,40.1
Carpenters,"1,281",15,96,295,336,302,195,41,41.9
"Carpet, floor, and tile installers and finishers",156,2,7,45,45,29,22,7,40.9
"Cement masons, concrete finishers, and terrazzo workers",54,1,5,15,14,9,7,3,40.6
Construction laborers,"1,649",52,179,435,425,318,198,41,39.0
"Paving, surfacing, and tamping equipment operators",12,0,2,1,2,4,4,0,–
Pile-driver operators,2,0,0,0,1,1,0,0,–
Operating engineers and other construction equipment operators,357,3,25,85,69,89,68,19,43.7
"Drywall installers, ceiling tile installers, and tapers",151,0,11,43,59,22,11,4,38.8
Electricians,773,14,78,185,178,173,122,23,41.6
Glaziers,47,1,8,8,12,9,8,1,–
Insulation workers,49,1,4,14,13,9,7,0,–
"Painters, construction and maintenance",572,10,39,124,158,136,86,19,42.0
Paperhangers,1,0,0,0,0,0,1,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",573,9,37,143,140,132,89,24,42.6
Plasterers and stucco masons,28,1,3,8,9,3,4,1,–
Reinforcing iron and rebar workers,10,0,2,3,1,2,1,0,–
Roofers,221,6,22,73,59,37,21,4,37.5
Sheet metal workers,122,3,11,28,31,24,23,3,41.5
Structural iron and steel workers,58,1,2,14,12,18,10,1,42.8
Solar photovoltaic installers,11,0,1,3,3,2,2,1,–
"Helpers, construction trades",52,5,13,13,8,8,5,0,30.5
Construction and building inspectors,90,0,2,14,18,24,22,10,50.3
Elevator installers and repairers,30,0,2,8,8,6,5,0,–
Fence erectors,34,2,3,8,11,6,1,2,–
Hazardous materials removal workers,42,1,4,11,6,12,8,0,–
Highway maintenance workers,103,4,8,15,10,33,29,4,49.2
Rail-track laying and maintenance equipment operators,11,0,2,1,2,3,3,0,–
Septic tank servicers and sewer pipe cleaners,12,0,2,3,1,3,3,0,–
Miscellaneous construction and related workers,32,0,2,8,7,9,6,1,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",34,1,4,14,7,5,3,1,–
"Earth drillers, except oil and gas",29,1,2,7,9,6,3,1,–
"Explosives workers, ordnance handling experts, and blasters",9,1,0,3,1,3,0,1,–
Mining machine operators,67,1,11,20,19,9,7,0,37.2
"Roof bolters, mining",2,0,0,1,1,0,0,0,–
"Roustabouts, oil and gas",9,1,1,3,2,0,1,1,–
Helpers--extraction workers,4,0,2,1,0,1,0,0,–
Other extraction workers,64,2,9,26,9,7,9,1,34.5
"Installation, maintenance, and repair occupations","5,008",73,426,"1,123","1,114","1,204",888,180,42.8
"First-line supervisors of mechanics, installers, and repairers",262,0,1,32,63,86,72,7,49.4
"Computer, automated teller, and office machine repairers",241,6,22,63,54,47,40,7,41.1
Radio and telecommunications equipment installers and repairers,158,2,19,42,36,33,22,4,39.8
Avionics technicians,5,0,0,2,1,0,1,0,–
"Electric motor, power tool, and related repairers",23,0,3,4,6,7,3,0,–
"Electrical and electronics installers and repairers, transportation equipment",1,0,1,0,0,0,0,0,–
"Electrical and electronics repairers, industrial and utility",20,0,0,5,5,5,5,0,–
"Electronic equipment installers and repairers, motor vehicles",18,0,3,4,1,5,5,0,–
Electronic home entertainment equipment installers and repairers,38,1,3,11,8,8,5,2,–
Security and fire alarm systems installers,74,1,8,14,21,13,15,2,41.8
Aircraft mechanics and service technicians,140,0,7,32,27,34,35,6,46.2
Automotive body and related repairers,154,5,15,30,37,42,18,7,41.0
Automotive glass installers and repairers,22,1,4,4,4,5,3,2,–
Automotive service technicians and mechanics,924,20,109,214,222,195,136,28,40.1
Bus and truck mechanics and diesel engine specialists,345,3,31,84,82,82,51,12,41.6
Heavy vehicle and mobile equipment service technicians and mechanics,233,2,21,55,41,66,39,10,42.9
Small engine mechanics,54,0,6,17,6,12,7,5,41.3
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",81,8,15,26,15,8,5,4,31.6
Control and valve installers and repairers,29,0,1,7,6,8,6,1,–
"Heating, air conditioning, and refrigeration mechanics and installers",408,3,40,115,92,88,61,9,40.9
Home appliance repairers,53,1,2,10,11,10,13,5,48.5
Industrial and refractory machinery mechanics,425,3,27,72,82,130,102,10,47.7
"Maintenance and repair workers, general",527,4,33,97,104,137,119,32,47.6
"Maintenance workers, machinery",29,1,2,8,6,6,5,2,–
