,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Budget analysts,53,0,1,8,12,17,12,2,49.1
Credit analysts,27,0,2,6,12,4,4,0,–
Financial analysts,307,0,22,126,69,49,32,10,37.5
Personal financial advisors,513,0,20,129,129,106,92,37,43.3
Insurance underwriters,104,0,4,28,22,27,20,3,44.0
Financial examiners,14,0,1,2,2,4,3,1,–
Credit counselors and loan officers,367,2,19,89,97,91,54,16,42.6
"Tax examiners and collectors, and revenue agents",68,0,1,16,11,20,18,3,49.8
Tax preparers,108,0,5,16,19,23,27,19,51.4
"Financial specialists, all other",68,0,2,16,22,13,11,4,42.3
Professional and related occupations,"34,498",309,"2,180","8,630","8,154","7,394","5,760","2,071",42.6
Computer and mathematical occupations,"4,601",29,279,"1,332","1,250",995,592,123,40.6
Computer and information research scientists,20,0,1,4,7,6,2,0,–
Computer systems analysts,526,1,30,138,137,129,79,12,42.4
Information security analysts,89,0,7,15,25,24,17,1,43.3
Computer programmers,466,3,26,109,124,119,66,19,42.4
"Software developers, applications and systems software","1,483",6,79,490,404,302,168,35,39.6
Web developers,205,2,16,77,64,30,14,3,37.3
Computer support specialists,570,8,44,163,143,110,84,18,40.1
Database administrators,90,0,5,23,20,19,20,2,43.8
Network and computer systems administrators,218,0,10,52,68,61,22,5,41.4
Computer network architects,115,0,5,31,42,26,9,3,40.5
"Computer occupations, all other",596,10,41,157,165,125,82,16,40.9
Actuaries,14,0,0,7,1,4,0,1,–
Mathematicians,4,0,0,0,0,3,1,0,–
Operations research analysts,129,0,5,30,39,30,19,6,43.7
Statisticians,74,0,10,33,10,9,9,2,35.2
Miscellaneous mathematical science occupations,2,0,0,1,0,0,0,0,–
Architecture and engineering occupations,"3,106",17,186,768,681,702,580,172,43.5
"Architects, except naval",246,1,9,66,45,67,35,24,44.1
"Surveyors, cartographers, and photogrammetrists",34,0,2,9,9,6,7,2,–
Aerospace engineers,130,1,3,31,27,28,33,7,45.9
Agricultural engineers,2,0,0,0,0,2,0,0,–
Biomedical engineers,13,0,2,6,3,0,1,2,–
Chemical engineers,79,0,7,19,15,17,17,3,41.7
Civil engineers,425,2,30,114,89,92,77,21,42.5
Computer hardware engineers,69,0,4,17,19,18,8,2,41.0
Electrical and electronics engineers,293,1,16,68,67,63,65,13,44.8
Environmental engineers,33,1,1,5,13,6,7,1,–
"Industrial engineers, including health and safety",220,0,13,64,42,48,44,9,42.7
Marine engineers and naval architects,13,0,1,3,4,3,3,0,–
Materials engineers,31,0,0,5,8,6,8,3,–
Mechanical engineers,350,1,24,93,82,70,60,19,42.1
"Mining and geological engineers, including mining safety engineers",9,0,0,3,3,1,2,0,–
Nuclear engineers,7,0,1,1,3,0,1,1,–
Petroleum engineers,36,0,2,15,7,5,6,2,–
"Engineers, all other",539,1,24,131,125,141,87,31,43.9
Drafters,109,2,9,23,23,28,22,3,43.8
"Engineering technicians, except drafters",385,6,29,75,87,89,78,20,45.0
Surveying and mapping technicians,83,2,9,22,11,13,18,8,41.4
"Life, physical, and social science occupations","1,367",6,103,381,292,273,209,103,42.0
Agricultural and food scientists,35,0,6,9,4,7,5,4,–
Biological scientists,96,0,5,27,30,13,15,5,41.0
Conservation scientists and foresters,31,0,1,8,5,8,7,2,–
Medical scientists,154,0,17,46,37,30,13,10,39.9
"Life scientists, all other",3,0,0,2,1,0,0,0,–
Astronomers and physicists,19,0,2,8,2,1,6,1,–
Atmospheric and space scientists,6,0,0,1,1,3,1,0,–
Chemists and materials scientists,95,0,4,33,20,15,16,8,42.1
Environmental scientists and geoscientists,89,0,2,27,15,18,18,8,46.8
"Physical scientists, all other",261,0,10,84,58,60,34,14,41.5
Economists,26,1,0,8,10,3,4,0,–
Survey researchers,3,0,0,1,0,1,0,0,–
Psychologists,161,0,2,33,33,31,32,31,48.3
Sociologists,3,0,0,0,1,2,0,0,–
Urban and regional planners,38,0,0,6,14,11,6,1,–
Miscellaneous social scientists and related workers,39,0,3,16,5,7,3,5,–
Agricultural and food science technicians,35,0,6,6,7,8,7,1,–
Biological technicians,17,0,3,5,4,3,1,0,–
Chemical technicians,76,1,9,13,16,17,17,3,42.9
Geological and petroleum technicians,18,1,0,6,2,5,4,0,–
Nuclear technicians,5,0,0,0,0,3,1,0,–
Social science research assistants,2,0,0,2,0,0,0,0,–
"Miscellaneous life, physical, and social science technicians",155,3,32,40,25,25,20,9,35.7
Community and social service occupations,"2,612",19,153,614,583,548,488,207,43.9
Counselors,869,10,77,251,183,171,136,42,40.6
Social workers,781,3,31,199,194,171,137,46,43.1
Probation officers and correctional treatment specialists,102,0,3,19,34,27,14,6,43.6
Social and human service assistants,184,2,14,46,41,42,26,12,42.1
"Miscellaneous community and social service specialists, including health educators and community health workers",89,1,7,24,22,13,17,6,41.6
Clergy,436,0,8,50,81,100,120,77,52.1
"Directors, religious activities and education",78,1,8,12,16,11,22,9,47.3
"Religious workers, all other",73,1,6,13,12,14,17,10,48.9
Legal occupations,"1,808",3,35,404,436,395,332,201,45.6
Lawyers,"1,133",0,0,272,288,237,197,140,45.5
Judicial law clerks,15,0,1,9,3,0,1,0,–
"Judges, magistrates, and other judicial workers",59,0,0,4,7,16,17,15,56.1
Paralegals and legal assistants,433,3,30,96,101,101,72,30,43.4
Miscellaneous legal support workers,168,0,3,23,37,42,46,16,49.6
"Education, training, and library occupations","8,948",111,651,"2,012","2,159","1,935","1,523",557,42.9
Postsecondary teachers,"1,420",13,108,334,292,251,269,152,44.2
Preschool and kindergarten teachers,692,6,68,206,164,140,92,17,39.2
Elementary and middle school teachers,"3,186",8,151,729,903,737,506,152,42.9
Secondary school teachers,"1,078",4,47,265,274,265,173,49,43.0
Special education teachers,353,1,18,83,95,80,62,14,42.7
Other teachers and instructors,868,51,126,163,164,134,151,78,41.0
"Archivists, curators, and museum technicians",43,1,2,10,10,4,8,7,–
Librarians,190,1,6,35,29,46,46,27,50.7
Library technicians,37,2,6,6,8,5,6,2,–
Teacher assistants,950,23,108,158,192,243,184,42,43.6
"Other education, training, and library workers",132,3,11,23,27,28,24,16,45.4
"Arts, design, entertainment, sports, and media occupations","3,097",88,285,801,655,578,458,232,40.9
Artists and related workers,232,3,9,46,43,47,48,36,47.9
Designers,878,5,80,250,179,188,121,55,41.0
Actors,47,1,4,17,8,7,3,7,–
Producers and directors,173,1,8,56,44,30,26,7,40.4
"Athletes, coaches, umpires, and related workers",312,51,58,68,43,40,34,18,31.9
Dancers and choreographers,17,0,7,5,4,1,0,0,–
"Musicians, singers, and related workers",192,3,13,51,44,19,36,24,42.6
"Entertainers and performers, sports and related workers, all other",49,3,8,10,10,9,7,1,–
Announcers,59,2,5,15,14,11,8,5,40.5
"News analysts, reporters and correspondents",73,0,8,20,11,18,12,3,40.8
Public relations specialists,121,1,13,32,34,21,17,2,38.9
Editors,167,1,15,42,35,38,28,7,42.2
Technical writers,61,0,2,11,12,13,16,7,48.7
Writers and authors,229,2,15,48,45,58,29,32,45.0
Miscellaneous media and communication workers,116,1,7,31,32,19,17,9,41.1
Broadcast and sound engineering technicians and radio operators,111,3,9,34,30,18,15,2,39.1
Photographers,205,8,17,44,51,36,35,13,41.8
"Television, video, and motion picture camera operators and editors",54,2,6,20,15,4,4,3,35.2
"Media and communication equipment workers, all other",1,0,0,1,1,0,0,0,–
Healthcare practitioners and technical occupations,"8,960",36,487,"2,317","2,097","1,967","1,578",475,42.9
Chiropractors,51,0,1,9,11,15,11,5,48.5
Dentists,163,0,1,41,31,33,42,15,46.9
Dietitians and nutritionists,120,0,8,34,29,22,20,7,41.1
Optometrists,36,0,1,12,6,11,4,3,–
Pharmacists,306,0,14,101,71,49,50,19,40.8
Physicians and surgeons,"1,061",1,2,240,263,247,205,103,46.0
Physician assistants,92,0,2,35,28,15,9,3,38.9
Podiatrists,12,0,0,0,3,4,4,1,–
Audiologists,15,0,0,4,3,5,2,1,–
Occupational therapists,118,0,5,37,31,29,12,4,39.8
Physical therapists,290,0,5,90,75,70,38,11,41.8
Radiation therapists,13,0,0,7,2,2,3,0,–
Recreational therapists,11,0,0,2,4,2,3,0,–
Respiratory therapists,84,0,1,24,20,22,13,3,42.9
Speech-language pathologists,162,0,7,45,50,27,27,5,42.1
Exercise physiologists,2,0,0,1,1,0,0,0,–
"Therapists, all other",205,2,20,62,48,36,23,15,39.1
Veterinarians,101,0,1,26,26,22,19,7,44.2
Registered nurses,"3,102",4,140,766,711,709,621,150,44.0
Nurse anesthetists,23,0,0,8,8,4,2,1,–
Nurse midwives,6,0,0,1,0,3,2,0,–
Nurse practitioners,176,0,1,35,51,39,38,12,45.2
"Health diagnosing and treating practitioners, all other",32,0,0,5,7,10,5,5,–
Clinical laboratory technologists and technicians,361,3,37,87,81,73,59,22,41.8
Dental hygienists,169,1,9,44,40,42,28,5,42.8
Diagnostic related technologists and technicians,311,1,16,73,69,87,54,11,43.8
Emergency medical technicians and paramedics,194,1,32,75,40,34,10,2,33.0
Health practitioner support technologists and technicians,610,12,94,201,130,95,64,13,35.2
Licensed practical and licensed vocational nurses,653,9,56,150,153,149,110,25,42.3
Medical records and health information technicians,184,1,6,31,38,53,49,7,47.9
"Opticians, dispensing",55,0,3,13,7,14,12,6,48.2
Miscellaneous health technologists and technicians,130,0,13,32,34,26,18,6,40.6
Other healthcare practitioners and technical occupations,114,1,12,25,28,19,21,7,42.5
,,,,,,,,,
Service occupations,"26,811","2,070","4,007","6,077","4,889","4,821","3,655","1,292",37.7
Healthcare support occupations,"3,554",82,504,975,681,665,500,146,38.5
"Nursing, psychiatric, and home health aides","2,058",46,285,519,373,408,330,97,40.0
Occupational therapy assistants and aides,20,0,5,3,5,5,2,0,–
Physical therapist assistants and aides,70,1,14,22,14,12,6,1,35.4
Massage therapists,170,0,9,41,37,38,36,9,45.6
Dental assistants,294,9,44,90,69,45,30,7,35.6
Medical assistants,570,3,86,203,124,91,50,13,35.5
Medical transcriptionists,39,0,5,5,4,9,10,6,–
Pharmacy aides,36,1,10,8,2,3,7,4,–
Veterinary assistants and laboratory animal caretakers,39,4,10,14,4,4,2,1,–
Phlebotomists,101,2,13,31,20,24,10,3,37.5
"Miscellaneous healthcare support occupations, including medical equipment preparers",156,16,22,38,29,27,18,6,35.4
Protective service occupations,"3,117",114,292,773,689,676,410,163,40.3
First-line supervisors of correctional officers,61,0,2,8,17,24,9,0,45.8
First-line supervisors of police and detectives,114,0,0,11,34,46,21,3,47.7
First-line supervisors of fire fighting and prevention workers,44,0,0,3,10,17,13,1,–
"First-line supervisors of protective service workers, all other",88,0,5,17,13,24,22,7,47.5
Firefighters,252,0,12,90,74,48,24,5,38.8
Fire inspectors,27,1,4,2,6,9,4,1,–
"Bailiffs, correctional officers, and jailers",383,3,43,114,81,93,37,12,38.7
Detectives and criminal investigators,130,0,4,25,40,40,20,1,43.3
Fish and game wardens,9,0,0,2,4,2,1,1,–
Parking enforcement workers,8,1,0,3,1,2,1,0,–
Police and sheriff's patrol officers,708,1,42,196,230,159,60,19,39.7
Transit and railroad police,2,0,0,1,0,0,0,0,–
Animal control workers,9,0,2,2,1,2,1,0,–
Private detectives and investigators,94,0,4,16,22,19,18,13,48.6
Security guards and gaming surveillance officers,923,18,139,241,139,159,149,78,39.7
Crossing guards,72,2,5,12,9,10,18,16,49.9
Transportation security screeners,44,0,2,13,4,14,10,2,–
"Lifeguards and other recreational, and all other protective service workers",149,88,29,15,4,8,1,4,21.3
Food preparation and serving related occupations,"8,542","1,347","1,936","2,015","1,221","1,050",743,229,29.6
Chefs and head cooks,460,6,53,141,108,88,55,10,38.7
First-line supervisors of food preparation and serving workers,543,25,89,147,97,98,72,14,36.5
Cooks,"2,179",254,359,527,409,331,231,68,34.2
Food preparation workers,"1,000",187,252,183,123,127,89,39,28.8
Bartenders,454,4,85,190,80,57,31,9,31.5
"Combined food preparation and serving workers, including fast food",420,92,116,82,38,42,38,11,25.7
"Counter attendants, cafeteria, food concession, and coffee shop",214,108,47,20,9,16,8,5,21.6
Waiters and waitresses,"2,085",326,672,538,242,174,104,30,26.2
"Food servers, nonrestaurant",213,43,37,44,15,28,35,11,29.9
Dining room and cafeteria attendants and bartender helpers,331,87,67,51,37,37,37,15,27.2
Dishwashers,319,58,72,58,46,42,32,11,29.7
"Hosts and hostesses, restaurant, lounge, and coffee shop",319,156,86,34,17,11,11,5,21.5
"Food preparation and serving related workers, all other",3,1,0,0,0,0,0,1,–
Building and grounds cleaning and maintenance occupations,"5,804",202,485,"1,069","1,248","1,306","1,144",351,44.0
First-line supervisors of housekeeping and janitorial workers,323,1,12,47,78,88,80,17,48.8
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",231,0,17,62,63,45,36,8,41.1
Janitors and building cleaners,"2,276",86,176,379,402,498,555,180,46.9
Maids and housekeeping cleaners,"1,485",35,98,239,372,387,278,75,44.4
Pest control workers,79,3,7,16,19,16,14,4,42.6
Grounds maintenance workers,"1,411",77,176,327,315,272,180,65,39.0
Personal care and service occupations,"5,795",325,789,"1,245","1,050","1,124",858,403,40.0
First-line supervisors of gaming workers,206,4,17,46,47,53,25,15,41.7
First-line supervisors of personal service workers,191,0,6,45,53,50,25,11,43.4
Animal trainers,61,1,7,11,13,14,13,1,42.1
Nonfarm animal caretakers,233,24,49,57,32,36,26,9,31.6
Gaming services workers,92,2,8,20,19,24,14,6,42.5
Motion picture projectionists,6,0,0,2,2,2,0,0,–
"Ushers, lobby attendants, and ticket takers",40,14,9,5,1,1,4,5,–
Miscellaneous entertainment attendants and related workers,199,47,50,32,11,16,27,16,25.8
Embalmers and funeral attendants,12,0,0,1,2,3,3,3,–
"Morticians, undertakers, and funeral directors",40,0,2,6,8,10,6,8,–
Barbers,126,1,9,32,39,21,14,10,41.0
"Hairdressers, hairstylists, and cosmetologists",806,10,74,220,169,178,93,62,40.5
Miscellaneous personal appearance workers,364,4,31,84,96,91,51,6,41.6
"Baggage porters, bellhops, and concierges",66,4,12,13,10,15,9,4,37.8
Tour and travel guides,53,4,10,7,7,7,7,9,41.7
Childcare workers,"1,280",129,230,275,189,215,178,63,36.3
Personal care aides,"1,396",33,164,255,231,294,286,133,45.3
Recreation and fitness workers,440,34,67,91,90,75,56,27,38.0
Residential advisors,42,5,16,9,7,2,4,1,–
"Personal care and service workers, all other",142,8,29,34,25,17,15,14,35.9
,,,,,,,,,
Sales and office occupations,"33,539","1,682","4,052","7,159","5,907","6,748","5,754","2,237",41.5
Sales and related occupations,"15,848","1,130","2,079","3,321","2,793","2,926","2,434","1,165",39.9
First-line supervisors of retail sales workers,"3,282",33,254,815,720,723,540,197,42.6
First-line supervisors of non-retail sales workers,"1,180",3,40,201,251,316,280,89,47.6
Cashiers,"3,260",738,799,617,335,344,281,146,26.8
Counter and rental clerks,105,9,13,33,16,17,10,7,35.6
Parts salespersons,117,7,12,31,15,24,21,8,41.4
Retail salespersons,"3,312",290,675,650,485,482,461,269,36.1
Advertising sales agents,222,4,21,59,44,48,34,12,40.9
Insurance sales agents,630,5,38,135,138,140,108,66,44.5
"Securities, commodities, and financial services sales agents",263,1,15,70,66,59,36,15,41.6
Travel agents,83,0,6,10,15,18,21,13,50.2
"Sales representatives, services, all other",512,6,45,142,122,101,65,31,40.1
"Sales representatives, wholesale and manufacturing","1,308",11,65,300,276,320,263,73,44.9
"Models, demonstrators, and product promoters",59,4,7,15,7,4,12,10,39.7
Real estate brokers and sales agents,977,4,30,134,198,222,209,179,50.7
Sales engineers,43,0,1,7,11,14,8,2,–
Telemarketers,61,3,9,20,9,11,6,3,35.4
"Door-to-door sales workers, news and street vendors, and related workers",160,5,16,25,36,33,26,19,44.7
"Sales and related workers, all other",274,8,33,58,50,49,53,24,42.3
Office and administrative support occupations,"17,691",552,"1,973","3,838","3,114","3,822","3,321","1,071",42.8
First-line supervisors of office and administrative support workers,"1,352",2,48,285,300,370,283,64,45.9
"Switchboard operators, including answering service",25,0,5,7,5,3,1,4,–
Telephone operators,41,1,9,6,4,10,8,3,–
"Communications equipment operators, all other",5,0,0,2,1,1,1,0,–
Bill and account collectors,152,1,10,43,41,30,21,6,41.0
Billing and posting clerks,452,2,23,96,93,129,95,14,45.9
"Bookkeeping, accounting, and auditing clerks","1,137",4,62,173,211,279,275,133,49.4
Gaming cage workers,12,1,1,5,2,2,1,1,–
Payroll and timekeeping clerks,129,0,3,26,31,33,29,7,46.3
Procurement clerks,27,0,3,3,7,5,9,0,–
Tellers,342,15,91,97,43,45,41,10,31.0
"Financial clerks, all other",69,1,5,19,15,16,11,2,41.6
Brokerage clerks,3,0,0,1,0,1,1,0,–
Correspondence clerks,7,0,1,1,2,0,3,0,–
"Court, municipal, and license clerks",80,0,1,14,18,24,18,4,48.7
"Credit authorizers, checkers, and clerks",44,1,5,10,11,10,6,1,–
Customer service representatives,"2,388",152,367,637,406,418,299,108,36.5
"Eligibility interviewers, government programs",77,1,1,18,16,20,17,2,44.0
File clerks,183,13,27,43,32,23,36,9,37.9
"Hotel, motel, and resort desk clerks",138,9,30,43,21,14,14,6,31.0
"Interviewers, except eligibility and loan",152,2,20,31,29,33,25,10,42.2
"Library assistants, clerical",87,5,12,10,16,18,19,8,45.5
Loan interviewers and clerks,132,0,5,37,32,28,25,5,41.2
New accounts clerks,24,0,3,10,6,3,2,0,–
Order clerks,105,5,16,23,14,25,19,3,39.4
"Human resources assistants, except payroll and timekeeping",42,0,5,10,8,11,7,0,–
Receptionists and information clerks,"1,331",64,260,316,200,191,203,97,36.6
Reservation and transportation ticket agents and travel clerks,144,3,18,36,24,36,23,5,40.9
"Information and record clerks, all other",118,1,14,23,21,28,20,10,43.5
Cargo and freight agents,27,0,3,4,5,10,4,0,–
Couriers and messengers,227,6,18,40,42,55,45,21,46.1
Dispatchers,292,3,26,84,67,69,37,7,40.1
"Meter readers, utilities",31,0,3,5,4,11,7,2,–
Postal service clerks,121,0,4,14,15,35,46,7,52.5
Postal service mail carriers,320,0,13,61,52,103,78,13,48.7
"Postal service mail sorters, processors, and processing machine operators",60,0,5,8,10,19,14,3,49.8
"Production, planning, and expediting clerks",245,3,15,64,56,68,33,6,41.9
"Shipping, receiving, and traffic clerks",546,24,72,141,81,111,99,19,39.9
Stock clerks and order fillers,"1,530",135,317,344,206,238,225,66,34.2
"Weighers, measurers, checkers, and samplers, recordkeeping",51,0,4,10,7,15,12,1,47.2
Secretaries and administrative assistants,"2,744",25,143,443,496,696,695,246,49.2
Computer operators,91,1,7,18,15,28,19,3,47.1
Data entry keyers,272,9,42,71,50,50,39,10,38.4
Word processors and typists,82,1,7,11,19,23,17,5,46.8
Desktop publishers,0,0,0,0,0,0,0,0,–
Insurance claims and policy processing clerks,273,2,17,84,46,55,55,14,42.6
"Mail clerks and mail machine operators, except postal service",77,3,9,15,14,14,18,5,43.9
"Office clerks, general","1,295",48,167,258,197,271,259,95,43.4
"Office machine operators, except computer",35,2,9,6,4,8,5,1,–
Proofreaders and copy markers,12,0,2,3,2,1,3,2,–
Statistical assistants,9,0,0,3,0,1,3,1,–
"Office and administrative support workers, all other",551,3,45,127,115,135,97,29,43.8
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,904",317,"1,162","3,245","3,294","3,194","2,177",515,41.8
"Farming, fishing, and forestry occupations","1,096",77,112,257,225,229,139,57,39.8
"First-line supervisors of farming, fishing, and forestry workers",48,0,2,6,16,14,6,4,–
Agricultural inspectors,19,0,0,1,3,8,4,3,–
Animal breeders,7,0,2,2,3,1,0,0,–
"Graders and sorters, agricultural products",85,2,7,23,17,18,17,3,43.6
Miscellaneous agricultural workers,818,73,92,202,167,159,87,39,38.0
Fishers and related fishing workers,29,2,1,8,5,5,8,0,–
Hunters and trappers,1,0,0,0,1,0,0,0,–
Forest and conservation workers,21,0,3,4,2,5,5,2,–
Logging workers,68,1,6,12,11,19,13,6,45.8
Construction and extraction occupations,"7,929",151,665,"1,889","1,984","1,773","1,201",266,41.4
First-line supervisors of construction trades and extraction workers,680,1,20,135,186,184,129,23,44.7
Boilermakers,23,0,1,3,8,7,2,0,–
"Brickmasons, blockmasons, and stonemasons",160,2,12,39,47,38,18,3,40.6
Carpenters,"1,359",20,94,312,359,313,211,51,42.4
"Carpet, floor, and tile installers and finishers",168,2,14,50,45,37,14,5,39.1
"Cement masons, concrete finishers, and terrazzo workers",56,0,8,9,14,15,8,2,44.2
Construction laborers,"1,801",57,200,492,419,366,220,48,38.8
"Paving, surfacing, and tamping equipment operators",13,0,1,1,5,2,2,1,–
Pile-driver operators,2,0,0,2,0,0,0,0,–
Operating engineers and other construction equipment operators,351,6,26,62,83,85,71,18,44.2
"Drywall installers, ceiling tile installers, and tapers",180,4,16,37,61,30,25,7,41.1
Electricians,774,15,62,179,189,172,133,23,42.2
Glaziers,54,0,7,11,13,10,13,1,43.6
Insulation workers,50,1,4,18,9,13,5,0,36.8
"Painters, construction and maintenance",612,10,53,142,157,140,94,16,41.2
Paperhangers,4,0,0,0,0,0,3,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",583,5,43,141,121,145,100,29,43.6
Plasterers and stucco masons,34,1,2,7,9,8,4,2,–
Reinforcing iron and rebar workers,12,1,2,3,2,3,1,0,–
Roofers,230,8,31,59,64,47,18,3,37.6
Sheet metal workers,126,1,8,33,36,18,26,3,41.1
Structural iron and steel workers,60,0,4,14,14,20,7,0,41.6
Solar photovoltaic installers,10,0,2,2,4,2,0,0,–
"Helpers, construction trades",57,8,19,13,8,4,4,0,26.1
Construction and building inspectors,93,0,4,10,20,24,25,9,50.0
Elevator installers and repairers,44,0,2,12,14,7,8,2,–
Fence erectors,43,3,8,8,12,9,3,1,–
Hazardous materials removal workers,34,1,2,8,11,6,4,2,–
Highway maintenance workers,92,2,4,14,17,31,21,4,47.7
Rail-track laying and maintenance equipment operators,10,0,0,3,6,1,1,0,–
Septic tank servicers and sewer pipe cleaners,10,0,1,2,1,1,4,0,–
Miscellaneous construction and related workers,34,0,2,8,9,5,6,3,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",25,0,2,10,5,4,3,0,–
"Earth drillers, except oil and gas",33,0,3,7,9,8,5,1,–
"Explosives workers, ordnance handling experts, and blasters",11,0,0,4,2,2,1,2,–
Mining machine operators,55,0,3,17,16,7,10,3,40.6
"Roof bolters, mining",4,0,0,2,1,0,0,0,–
"Roustabouts, oil and gas",6,0,1,5,1,0,0,0,–
Helpers--extraction workers,4,0,0,2,1,1,0,0,–
Other extraction workers,32,1,4,9,6,8,3,2,–
"Installation, maintenance, and repair occupations","4,879",89,385,"1,099","1,085","1,192",837,193,42.8
"First-line supervisors of mechanics, installers, and repairers",264,0,4,37,57,96,60,10,48.7
"Computer, automated teller, and office machine repairers",212,5,22,59,45,36,35,9,40.2
Radio and telecommunications equipment installers and repairers,143,0,8,31,44,31,23,5,41.5
Avionics technicians,7,0,0,1,4,1,0,0,–
"Electric motor, power tool, and related repairers",25,0,0,10,4,6,4,1,–
"Electrical and electronics installers and repairers, transportation equipment",2,0,2,0,1,0,0,0,–
"Electrical and electronics repairers, industrial and utility",13,0,1,4,4,2,1,0,–
"Electronic equipment installers and repairers, motor vehicles",10,0,1,3,3,2,1,0,–
Electronic home entertainment equipment installers and repairers,44,2,6,13,8,8,4,4,–
Security and fire alarm systems installers,79,0,12,11,24,17,12,2,42.0
Aircraft mechanics and service technicians,140,1,6,28,25,42,37,2,48.3
Automotive body and related repairers,147,4,13,33,36,31,21,9,41.7
Automotive glass installers and repairers,22,1,1,2,9,5,1,3,–
Automotive service technicians and mechanics,879,21,102,226,189,197,118,26,39.5
Bus and truck mechanics and diesel engine specialists,342,7,32,77,74,85,55,12,42.4
Heavy vehicle and mobile equipment service technicians and mechanics,203,1,15,42,51,45,41,8,43.1
Small engine mechanics,51,3,3,15,9,10,7,3,41.4
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",87,5,15,33,19,8,5,2,31.8
Control and valve installers and repairers,33,0,3,6,8,10,5,1,–
"Heating, air conditioning, and refrigeration mechanics and installers",427,8,36,115,84,105,62,16,41.7
Home appliance repairers,49,0,3,9,9,10,12,6,–
Industrial and refractory machinery mechanics,393,4,14,66,90,126,79,15,46.4
