,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Network and computer systems administrators,210,4,11,40,62,55,29,9,42.8
Computer network architects,106,0,4,23,37,28,10,4,42.1
"Computer occupations, all other",693,5,45,189,184,159,90,20,40.7
Actuaries,29,0,2,14,4,7,1,1,–
Mathematicians,3,0,1,1,2,0,0,0,–
Operations research analysts,147,0,3,27,37,42,32,7,46.0
Statisticians,87,0,9,33,24,8,11,2,35.9
Miscellaneous mathematical science occupations,3,0,0,1,1,0,0,0,–
Architecture and engineering occupations,"3,224",7,221,814,723,690,609,160,43.0
"Architects, except naval",253,0,5,66,55,52,53,21,45.0
"Surveyors, cartographers, and photogrammetrists",43,0,2,7,17,9,7,2,–
Aerospace engineers,148,1,7,34,28,33,40,7,47.4
Agricultural engineers,2,0,0,1,1,0,1,0,–
Biomedical engineers,17,0,0,2,8,3,2,1,–
Chemical engineers,77,0,6,20,10,20,17,4,45.6
Civil engineers,461,0,37,118,111,89,82,24,41.7
Computer hardware engineers,80,0,6,18,26,20,8,2,40.3
Electrical and electronics engineers,284,1,14,63,67,73,58,9,44.6
Environmental engineers,38,0,2,7,6,10,10,3,–
"Industrial engineers, including health and safety",221,0,16,65,44,47,43,6,41.4
Marine engineers and naval architects,12,0,0,5,2,1,3,2,–
Materials engineers,32,0,1,4,7,10,8,1,–
Mechanical engineers,344,1,36,92,83,70,49,14,40.8
"Mining and geological engineers, including mining safety engineers",11,0,0,3,2,1,3,1,–
Nuclear engineers,8,0,0,2,4,2,0,0,–
Petroleum engineers,24,0,2,8,6,4,4,1,–
"Engineers, all other",582,1,30,164,124,127,110,28,42.8
Drafters,137,1,16,35,25,31,23,6,41.6
"Engineering technicians, except drafters",375,2,34,82,81,76,76,24,44.1
Surveying and mapping technicians,73,0,7,19,15,16,13,3,42.0
"Life, physical, and social science occupations","1,431",5,103,399,335,262,241,86,41.7
Agricultural and food scientists,32,1,4,10,4,5,5,3,–
Biological scientists,98,0,6,23,38,17,11,4,41.2
Conservation scientists and foresters,29,0,2,7,7,7,5,1,–
Medical scientists,161,1,12,53,35,33,21,8,39.5
"Life scientists, all other",3,0,0,2,0,0,0,0,–
Astronomers and physicists,18,0,0,4,4,4,4,1,–
Atmospheric and space scientists,7,0,0,1,1,2,1,1,–
Chemists and materials scientists,105,0,3,34,25,21,19,4,42.2
Environmental scientists and geoscientists,84,0,5,19,23,16,19,3,43.7
"Physical scientists, all other",301,0,18,105,81,44,44,9,39.7
Economists,28,0,1,8,5,8,6,1,–
Survey researchers,3,0,0,1,1,0,0,1,–
Psychologists,187,0,1,26,41,43,40,35,49.7
Sociologists,2,0,0,1,2,0,0,0,–
Urban and regional planners,32,0,3,3,13,9,4,0,–
Miscellaneous social scientists and related workers,41,0,4,10,5,10,8,5,–
Agricultural and food science technicians,32,0,2,8,6,7,9,0,–
Biological technicians,23,0,1,9,6,4,2,0,–
Chemical technicians,57,0,10,15,4,10,18,0,44.9
Geological and petroleum technicians,13,0,1,6,1,4,1,0,–
Nuclear technicians,7,0,0,0,4,1,1,1,–
Social science research assistants,4,0,0,1,2,0,0,0,–
"Miscellaneous life, physical, and social science technicians",164,4,32,51,28,20,22,7,33.4
Community and social service occupations,"2,635",31,161,627,565,553,496,203,43.7
Counselors,853,17,72,232,183,178,119,52,40.4
Social workers,802,4,40,205,189,188,136,40,43.0
Probation officers and correctional treatment specialists,99,0,2,32,32,19,11,3,40.5
Social and human service assistants,232,5,23,51,52,47,40,13,42.1
"Miscellaneous community and social service specialists, including health educators and community health workers",76,1,6,25,14,13,14,3,41.7
Clergy,406,1,10,53,69,78,126,69,52.2
"Directors, religious activities and education",81,2,4,14,12,15,26,9,51.2
"Religious workers, all other",85,2,4,15,14,14,24,13,51.2
Legal occupations,"1,827",2,43,387,441,395,351,208,45.8
Lawyers,"1,137",0,4,225,304,247,208,150,46.3
Judicial law clerks,14,0,0,10,1,1,1,0,–
"Judges, magistrates, and other judicial workers",66,0,0,4,8,17,22,14,55.4
Paralegals and legal assistants,424,1,32,106,90,88,75,32,42.7
Miscellaneous legal support workers,186,0,6,42,38,42,45,13,46.6
"Education, training, and library occupations","9,215",122,664,"2,114","2,159","2,024","1,530",601,42.8
Postsecondary teachers,"1,423",8,117,322,281,274,268,154,44.5
Preschool and kindergarten teachers,712,14,87,198,160,144,88,23,38.7
Elementary and middle school teachers,"3,268",7,151,768,887,787,514,155,43.0
Secondary school teachers,"1,039",3,32,265,274,245,165,56,43.1
Special education teachers,422,1,19,92,114,99,78,18,43.3
Other teachers and instructors,907,48,112,204,165,160,133,84,40.9
"Archivists, curators, and museum technicians",59,0,3,17,9,12,9,8,44.2
Librarians,194,2,8,33,48,34,42,28,46.8
Library technicians,40,5,11,1,5,5,9,4,–
Teacher assistants,989,32,105,187,183,232,190,59,43.2
"Other education, training, and library workers",161,2,20,27,33,33,34,11,43.9
"Arts, design, entertainment, sports, and media occupations","3,246",98,297,863,680,572,489,247,40.8
Artists and related workers,236,4,15,62,39,37,42,38,44.4
Designers,908,10,73,256,205,168,146,50,41.0
Actors,40,1,6,16,7,4,3,3,–
Producers and directors,180,0,13,47,55,29,27,8,41.2
"Athletes, coaches, umpires, and related workers",345,56,57,90,49,47,30,17,31.4
Dancers and choreographers,21,1,7,6,5,0,1,1,–
"Musicians, singers, and related workers",188,6,14,48,36,28,28,28,43.2
"Entertainers and performers, sports and related workers, all other",67,2,8,15,16,13,7,5,40.5
Announcers,50,0,5,17,10,8,5,5,40.9
"News analysts, reporters and correspondents",84,1,19,23,17,10,8,6,34.1
Public relations specialists,118,0,14,32,28,20,15,9,40.3
Editors,174,2,9,51,36,40,27,10,41.6
Technical writers,76,0,2,11,19,23,15,6,46.8
Writers and authors,226,1,9,57,36,50,42,31,46.4
Miscellaneous media and communication workers,112,2,8,23,27,22,19,10,44.6
Broadcast and sound engineering technicians and radio operators,119,2,11,21,29,28,22,6,43.5
Photographers,214,7,15,58,48,34,42,11,40.7
"Television, video, and motion picture camera operators and editors",82,2,11,28,19,9,9,4,35.7
"Media and communication equipment workers, all other",5,0,0,1,0,3,0,0,–
Healthcare practitioners and technical occupations,"9,141",38,526,"2,394","2,084","1,986","1,591",523,42.7
Chiropractors,51,0,0,7,10,12,15,7,51.5
Dentists,159,0,0,31,26,32,45,26,51.0
Dietitians and nutritionists,114,0,5,30,21,26,24,9,44.3
Optometrists,51,0,0,9,7,23,8,5,49.9
Pharmacists,342,0,19,119,66,55,58,24,41.0
Physicians and surgeons,"1,079",0,4,254,249,247,203,121,46.4
Physician assistants,116,0,2,54,26,19,11,4,37.6
Podiatrists,12,0,1,0,5,3,1,2,–
Audiologists,15,0,1,5,2,5,2,0,–
Occupational therapists,122,0,3,34,41,27,16,2,40.9
Physical therapists,258,1,11,84,70,54,26,12,40.4
Radiation therapists,10,0,0,5,4,0,1,0,–
Recreational therapists,7,0,0,1,1,3,1,0,–
Respiratory therapists,100,0,2,28,25,19,17,10,43.4
Speech-language pathologists,141,1,5,43,45,23,16,8,40.1
Exercise physiologists,5,0,0,3,1,1,0,0,–
"Therapists, all other",221,1,9,73,53,43,28,15,39.9
Veterinarians,89,1,2,22,18,22,15,10,46.3
Registered nurses,"3,159",2,159,801,707,735,617,137,43.5
Nurse anesthetists,35,0,0,8,9,8,9,2,–
Nurse midwives,7,0,0,2,4,1,0,0,–
Nurse practitioners,175,0,1,35,50,42,36,12,44.7
"Health diagnosing and treating practitioners, all other",39,0,1,6,9,12,9,3,–
Clinical laboratory technologists and technicians,376,3,42,98,71,85,58,19,41.4
Dental hygienists,168,0,10,46,34,36,35,7,43.4
Diagnostic related technologists and technicians,319,0,19,79,76,80,56,9,43.3
Emergency medical technicians and paramedics,223,4,40,71,53,31,20,4,34.4
Health practitioner support technologists and technicians,632,13,108,190,152,100,58,11,35.5
Licensed practical and licensed vocational nurses,630,5,50,148,145,141,105,37,42.6
Medical records and health information technicians,167,1,7,30,34,45,42,7,46.8
"Opticians, dispensing",48,1,4,11,5,10,12,6,–
Miscellaneous health technologists and technicians,160,3,12,41,42,24,29,8,41.1
Other healthcare practitioners and technical occupations,110,2,10,27,24,24,18,5,41.6
,,,,,,,,,
Service occupations,"26,751","2,091","3,818","6,066","4,935","4,782","3,675","1,385",38.0
Healthcare support occupations,"3,506",91,513,916,698,657,472,160,38.6
"Nursing, psychiatric, and home health aides","1,936",56,260,441,381,393,294,111,40.4
Occupational therapy assistants and aides,27,0,2,8,5,7,5,0,–
Physical therapist assistants and aides,83,0,19,22,14,17,8,3,34.8
Massage therapists,172,0,17,42,34,38,32,9,43.1
Dental assistants,299,9,43,93,57,53,34,9,36.7
Medical assistants,539,4,73,186,137,83,42,15,35.9
Medical transcriptionists,36,1,10,7,3,4,8,3,–
Pharmacy aides,39,2,11,11,7,4,4,1,–
Veterinary assistants and laboratory animal caretakers,61,7,20,16,5,8,4,1,27.5
Phlebotomists,112,2,21,35,23,19,10,3,36.8
"Miscellaneous healthcare support occupations, including medical equipment preparers",200,10,37,55,33,31,30,5,35.2
Protective service occupations,"3,113",98,265,805,718,666,396,165,40.7
First-line supervisors of correctional officers,52,0,0,8,12,20,10,2,47.0
First-line supervisors of police and detectives,95,0,0,11,31,36,14,3,46.6
First-line supervisors of fire fighting and prevention workers,44,0,1,2,12,20,7,2,–
"First-line supervisors of protective service workers, all other",72,0,2,11,16,21,16,6,48.2
Firefighters,283,1,18,103,87,48,25,1,37.8
Fire inspectors,27,0,2,3,6,8,5,4,–
"Bailiffs, correctional officers, and jailers",408,2,34,136,88,86,43,18,39.3
Detectives and criminal investigators,136,1,3,28,43,43,16,2,42.7
Fish and game wardens,4,0,0,1,2,1,0,0,–
Parking enforcement workers,6,0,1,0,2,3,0,0,–
Police and sheriff's patrol officers,704,1,35,211,212,167,54,24,40.2
Transit and railroad police,7,0,0,1,2,2,1,0,–
Animal control workers,15,0,0,5,2,5,3,1,–
Private detectives and investigators,94,1,3,15,29,20,20,7,45.1
Security guards and gaming surveillance officers,920,13,122,242,152,159,153,79,41.1
Crossing guards,63,2,2,6,11,8,20,13,53.6
Transportation security screeners,46,0,9,13,6,10,7,1,–
"Lifeguards and other recreational, and all other protective service workers",136,77,33,8,5,7,3,3,21.0
Food preparation and serving related occupations,"8,305","1,346","1,765","1,975","1,204","1,028",749,239,29.9
Chefs and head cooks,465,5,40,149,116,79,63,14,38.8
First-line supervisors of food preparation and serving workers,519,29,81,158,83,88,65,15,36.0
Cooks,"2,079",236,328,482,415,331,224,63,35.0
Food preparation workers,"1,068",192,254,217,116,131,109,49,28.8
Bartenders,417,8,78,172,72,49,27,11,31.3
"Combined food preparation and serving workers, including fast food",372,95,89,67,38,39,29,13,26.3
"Counter attendants, cafeteria, food concession, and coffee shop",225,105,52,26,12,15,13,3,22.0
Waiters and waitresses,"2,016",324,597,540,233,176,112,34,26.6
"Food servers, nonrestaurant",207,41,40,36,25,31,27,7,31.4
Dining room and cafeteria attendants and bartender helpers,334,94,65,44,44,36,38,13,27.0
Dishwashers,274,67,52,45,37,41,26,7,29.1
"Hosts and hostesses, restaurant, lounge, and coffee shop",324,149,88,38,13,10,17,10,21.7
"Food preparation and serving related workers, all other",4,0,2,1,0,1,0,0,–
Building and grounds cleaning and maintenance occupations,"5,888",200,451,"1,099","1,236","1,338","1,183",381,44.5
First-line supervisors of housekeeping and janitorial workers,326,1,11,48,75,104,68,20,48.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",255,1,16,48,67,60,50,13,44.6
Janitors and building cleaners,"2,307",87,176,364,402,526,562,191,47.7
Maids and housekeeping cleaners,"1,527",34,91,253,397,359,302,91,44.8
Pest control workers,108,1,12,32,19,23,21,2,40.2
Grounds maintenance workers,"1,365",78,147,355,276,266,179,64,38.8
Personal care and service occupations,"5,939",357,824,"1,271","1,079","1,094",876,439,39.8
First-line supervisors of gaming workers,208,6,17,55,47,45,21,17,41.0
First-line supervisors of personal service workers,232,0,10,49,68,57,34,15,43.2
Animal trainers,49,1,7,12,8,9,8,3,–
Nonfarm animal caretakers,263,29,67,52,44,31,27,12,31.6
Gaming services workers,90,4,4,21,19,19,15,8,44.8
Motion picture projectionists,1,0,0,0,0,1,0,0,–
"Ushers, lobby attendants, and ticket takers",37,14,7,5,2,2,3,5,–
Miscellaneous entertainment attendants and related workers,224,60,54,37,14,17,20,21,25.1
Embalmers and funeral attendants,17,1,2,0,1,4,4,6,–
"Morticians, undertakers, and funeral directors",42,0,0,5,9,8,12,8,–
Barbers,135,0,9,42,32,21,15,17,40.3
"Hairdressers, hairstylists, and cosmetologists",806,14,79,231,156,162,98,67,40.3
Miscellaneous personal appearance workers,397,5,39,76,115,104,47,12,41.0
"Baggage porters, bellhops, and concierges",89,2,18,23,13,13,12,7,36.6
Tour and travel guides,68,6,15,11,8,4,14,10,36.6
Childcare workers,"1,225",131,222,240,180,209,182,60,36.5
Personal care aides,"1,365",38,148,253,238,275,274,140,45.2
Recreation and fitness workers,480,38,82,104,91,82,60,23,37.2
Residential advisors,44,1,15,12,2,9,4,0,–
"Personal care and service workers, all other",167,7,31,42,33,19,24,11,36.3
,,,,,,,,,
Sales and office occupations,"33,566","1,715","4,071","7,186","5,974","6,582","5,761","2,277",41.3
Sales and related occupations,"15,815","1,167","2,074","3,292","2,723","2,879","2,507","1,174",40.1
First-line supervisors of retail sales workers,"3,272",35,256,823,699,677,568,214,42.7
First-line supervisors of non-retail sales workers,"1,220",5,43,212,260,325,265,109,47.5
Cashiers,"3,253",777,798,590,335,304,285,163,26.2
Counter and rental clerks,109,11,14,27,18,20,13,6,36.1
Parts salespersons,130,5,13,28,24,25,26,8,42.8
Retail salespersons,"3,235",292,649,651,455,488,463,237,35.6
Advertising sales agents,241,3,30,77,52,41,29,9,37.0
Insurance sales agents,624,4,33,123,131,142,127,65,46.7
"Securities, commodities, and financial services sales agents",262,2,10,59,65,68,43,15,44.2
Travel agents,89,0,6,17,16,15,17,17,47.7
"Sales representatives, services, all other",525,4,52,148,108,102,87,23,40.5
"Sales representatives, wholesale and manufacturing","1,264",11,76,265,257,300,271,84,45.3
"Models, demonstrators, and product promoters",61,2,9,8,9,10,11,12,48.3
Real estate brokers and sales agents,997,4,30,145,194,240,216,169,50.3
Sales engineers,35,0,1,7,6,13,6,2,–
Telemarketers,58,3,9,20,9,8,6,3,31.5
"Door-to-door sales workers, news and street vendors, and related workers",166,4,11,35,30,43,26,18,45.8
"Sales and related workers, all other",276,4,34,58,56,58,48,18,43.4
Office and administrative support occupations,"17,751",548,"1,997","3,895","3,251","3,703","3,254","1,104",42.4
First-line supervisors of office and administrative support workers,"1,425",3,58,300,326,378,279,80,45.1
"Switchboard operators, including answering service",23,1,0,6,5,3,2,5,–
Telephone operators,47,0,12,11,9,7,5,3,–
"Communications equipment operators, all other",9,0,0,3,1,4,2,0,–
Bill and account collectors,139,3,19,35,33,25,15,10,38.5
Billing and posting clerks,473,4,31,110,102,115,92,19,44.1
"Bookkeeping, accounting, and auditing clerks","1,089",5,59,146,204,273,268,135,50.1
Gaming cage workers,14,0,1,3,4,6,1,0,–
Payroll and timekeeping clerks,129,0,6,25,27,31,31,9,47.4
Procurement clerks,30,0,2,7,6,4,9,2,–
Tellers,306,13,73,96,41,30,41,13,30.9
"Financial clerks, all other",82,0,7,18,24,17,12,4,43.0
Brokerage clerks,7,0,2,0,1,0,3,1,–
Correspondence clerks,7,0,1,1,3,0,2,0,–
"Court, municipal, and license clerks",90,1,1,13,20,24,25,5,48.4
"Credit authorizers, checkers, and clerks",55,1,6,14,10,13,8,2,40.4
Customer service representatives,"2,494",163,401,667,413,423,319,108,35.8
"Eligibility interviewers, government programs",62,0,2,13,15,19,13,1,46.3
File clerks,182,16,21,34,34,30,34,13,41.0
"Hotel, motel, and resort desk clerks",125,8,29,36,20,12,13,6,31.7
"Interviewers, except eligibility and loan",142,1,21,31,30,23,26,10,40.9
"Library assistants, clerical",96,5,15,14,15,13,22,12,45.8
Loan interviewers and clerks,120,0,7,34,26,22,28,3,41.5
New accounts clerks,32,0,2,10,10,2,7,1,–
Order clerks,107,3,12,27,24,23,15,4,40.2
"Human resources assistants, except payroll and timekeeping",45,1,2,14,13,12,4,1,–
Receptionists and information clerks,"1,267",60,224,313,185,196,199,91,37.4
Reservation and transportation ticket agents and travel clerks,127,1,15,29,23,30,23,6,43.2
"Information and record clerks, all other",110,2,13,27,21,18,23,6,41.6
Cargo and freight agents,16,0,1,6,5,2,1,1,–
Couriers and messengers,239,4,19,60,38,62,37,19,43.7
Dispatchers,292,2,29,80,67,62,41,10,40.3
"Meter readers, utilities",18,1,1,5,3,2,4,2,–
Postal service clerks,111,0,2,17,18,31,40,3,51.3
Postal service mail carriers,306,0,18,67,52,83,75,11,47.4
"Postal service mail sorters, processors, and processing machine operators",50,0,6,8,10,13,11,3,47.0
"Production, planning, and expediting clerks",270,2,23,64,56,76,37,13,41.9
"Shipping, receiving, and traffic clerks",623,9,79,147,141,113,114,20,41.0
Stock clerks and order fillers,"1,525",160,328,346,212,227,181,72,32.5
"Weighers, measurers, checkers, and samplers, recordkeeping",52,3,4,13,12,6,10,4,41.6
Secretaries and administrative assistants,"2,769",15,161,478,497,712,685,220,48.4
Computer operators,73,1,4,14,12,14,20,9,48.9
Data entry keyers,267,5,37,68,46,47,52,12,40.5
Word processors and typists,94,1,8,16,18,14,28,8,46.9
Desktop publishers,2,0,0,0,0,1,1,0,–
Insurance claims and policy processing clerks,237,0,19,63,54,52,39,9,41.6
"Mail clerks and mail machine operators, except postal service",61,4,7,9,11,17,10,4,44.3
"Office clerks, general","1,271",42,152,249,221,259,253,95,43.5
"Office machine operators, except computer",33,3,4,4,5,7,5,4,–
Proofreaders and copy markers,10,0,1,2,0,4,2,2,–
Statistical assistants,21,0,1,5,4,5,4,1,–
"Office and administrative support workers, all other",576,3,51,138,121,142,88,33,42.4
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,193",337,"1,231","3,336","3,322","3,152","2,274",540,41.6
"Farming, fishing, and forestry occupations","1,184",80,141,263,240,227,162,71,39.7
"First-line supervisors of farming, fishing, and forestry workers",62,0,5,8,14,16,11,7,47.3
Agricultural inspectors,18,0,1,1,3,9,3,1,–
Animal breeders,2,0,0,0,0,1,1,0,–
"Graders and sorters, agricultural products",110,4,11,24,25,23,17,5,41.7
Miscellaneous agricultural workers,854,71,107,197,177,156,100,46,38.2
Fishers and related fishing workers,44,2,5,13,7,7,7,3,–
Hunters and trappers,1,0,0,0,0,0,1,0,–
Forest and conservation workers,27,1,5,6,2,3,9,2,–
Logging workers,66,2,7,13,13,13,13,6,44.3
Construction and extraction occupations,"8,031",176,701,"1,914","1,997","1,760","1,220",263,41.3
First-line supervisors of construction trades and extraction workers,639,2,12,122,178,181,117,27,45.1
Boilermakers,15,0,1,2,4,5,2,1,–
"Brickmasons, blockmasons, and stonemasons",166,2,13,43,39,48,20,2,41.1
Carpenters,"1,351",26,99,317,361,290,211,47,41.9
"Carpet, floor, and tile installers and finishers",183,2,16,45,51,38,28,3,41.1
"Cement masons, concrete finishers, and terrazzo workers",54,1,8,10,17,10,8,1,41.2
Construction laborers,"1,946",82,216,480,446,403,256,65,39.4
"Paving, surfacing, and tamping equipment operators",15,0,4,1,3,1,5,1,–
Pile-driver operators,2,0,0,2,0,0,0,0,–
Operating engineers and other construction equipment operators,358,2,24,94,81,75,66,14,41.9
"Drywall installers, ceiling tile installers, and tapers",156,5,16,36,46,26,23,5,40.3
Electricians,857,13,77,205,200,195,143,24,41.8
Glaziers,44,1,5,12,9,9,8,2,–
Insulation workers,58,0,7,20,14,12,5,0,36.0
"Painters, construction and maintenance",540,11,49,126,147,109,85,13,41.3
Paperhangers,4,0,0,0,0,2,0,1,–
"Pipelayers, plumbers, pipefitters, and steamfitters",600,9,56,147,148,142,87,12,41.1
Plasterers and stucco masons,27,0,3,8,6,6,2,1,–
Reinforcing iron and rebar workers,12,0,2,2,3,3,0,0,–
Roofers,220,6,25,61,65,44,14,5,37.5
Sheet metal workers,137,2,7,35,32,30,26,5,42.7
Structural iron and steel workers,43,0,3,8,14,10,7,0,–
Solar photovoltaic installers,11,0,1,5,2,1,1,1,–
"Helpers, construction trades",69,6,17,18,12,9,7,0,31.1
Construction and building inspectors,89,0,1,8,13,27,26,13,52.5
Elevator installers and repairers,40,0,0,9,9,8,9,4,–
Fence erectors,34,2,4,7,8,6,5,2,–
Hazardous materials removal workers,30,0,1,7,9,5,7,1,–
Highway maintenance workers,101,2,8,17,24,26,21,3,46.0
Rail-track laying and maintenance equipment operators,17,0,4,4,5,1,2,1,–
Septic tank servicers and sewer pipe cleaners,10,0,0,2,3,3,0,1,–
Miscellaneous construction and related workers,24,0,1,7,6,4,4,1,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",30,0,3,15,8,3,0,0,–
"Earth drillers, except oil and gas",23,0,3,4,5,3,6,2,–
"Explosives workers, ordnance handling experts, and blasters",10,1,1,1,2,1,2,1,–
Mining machine operators,51,0,2,15,14,12,7,2,41.3
"Roof bolters, mining",2,0,0,1,1,0,0,0,–
"Roustabouts, oil and gas",4,0,1,2,0,0,0,0,–
Helpers--extraction workers,4,0,1,1,1,0,1,0,–
Other extraction workers,54,1,7,17,11,9,8,2,37.4
"Installation, maintenance, and repair occupations","4,977",80,389,"1,159","1,085","1,166",892,206,42.7
"First-line supervisors of mechanics, installers, and repairers",253,0,2,40,58,78,66,10,48.7
"Computer, automated teller, and office machine repairers",212,2,15,57,48,55,29,6,42.0
Radio and telecommunications equipment installers and repairers,134,2,7,31,44,25,21,3,41.2
Avionics technicians,9,0,0,2,3,2,1,0,–
"Electric motor, power tool, and related repairers",28,0,1,6,5,9,6,1,–
"Electrical and electronics installers and repairers, transportation equipment",1,0,0,0,1,0,0,0,–
"Electrical and electronics repairers, industrial and utility",12,0,0,5,3,1,3,0,–
"Electronic equipment installers and repairers, motor vehicles",11,0,2,1,2,3,2,0,–
Electronic home entertainment equipment installers and repairers,50,1,7,13,14,10,3,3,38.4
Security and fire alarm systems installers,77,1,10,20,16,17,11,3,39.6
Aircraft mechanics and service technicians,150,1,9,34,24,41,38,4,46.5
Automotive body and related repairers,140,3,13,36,27,35,18,7,40.0
Automotive glass installers and repairers,22,0,2,7,5,3,4,0,–
Automotive service technicians and mechanics,902,21,97,248,189,196,126,25,39.6
Bus and truck mechanics and diesel engine specialists,401,10,43,93,83,88,70,15,41.7
Heavy vehicle and mobile equipment service technicians and mechanics,201,2,19,36,45,51,36,11,43.9
Small engine mechanics,44,2,2,8,8,13,7,4,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",83,6,13,27,16,13,6,2,31.7
Control and valve installers and repairers,26,0,2,5,7,6,5,1,–
"Heating, air conditioning, and refrigeration mechanics and installers",448,9,38,114,90,106,72,19,41.6
Home appliance repairers,41,0,4,10,9,4,10,5,–
