,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Licensed practical and licensed vocational nurses,560,4,30,132,144,135,95,21,43.2
Medical records and health information technicians,116,1,8,32,26,22,23,5,42.7
"Opticians, dispensing",51,1,3,10,12,12,11,3,45.9
Miscellaneous health technologists and technicians,167,0,10,43,41,43,27,3,42.4
Other healthcare practitioners and technical occupations,70,0,4,17,19,14,11,4,41.9
,,,,,,,,,
Service occupations,"24,787","1,829","3,788","5,515","4,722","4,794","3,072","1,066",37.6
Healthcare support occupations,"3,359",81,478,865,675,698,448,114,38.8
"Nursing, psychiatric, and home health aides","1,981",47,275,445,401,441,284,89,40.3
Occupational therapy assistants and aides,17,0,1,10,4,1,2,0,–
Physical therapist assistants and aides,75,1,15,28,16,11,5,0,34.1
Massage therapists,146,1,14,44,30,29,24,3,40.5
Dental assistants,307,3,46,92,73,54,33,5,36.3
Medical assistants,395,5,56,152,73,67,36,6,34.6
Medical transcriptionists,74,0,3,9,12,25,20,4,50.7
Pharmacy aides,48,4,15,6,10,11,3,0,–
Veterinary assistants and laboratory animal caretakers,38,2,11,15,4,1,4,0,–
Phlebotomists,119,2,16,31,29,25,14,2,38.3
"Miscellaneous healthcare support occupations, including medical equipment preparers",158,16,27,33,22,32,23,4,35.7
Protective service occupations,"3,210",90,267,821,806,675,407,143,40.4
First-line supervisors of correctional officers,42,0,1,8,10,16,6,2,–
First-line supervisors of police and detectives,107,0,0,9,37,37,20,4,46.0
First-line supervisors of fire fighting and prevention workers,44,0,0,4,14,19,7,0,–
"First-line supervisors of protective service workers, all other",111,0,4,21,22,34,25,7,47.2
Firefighters,305,2,21,118,97,55,11,2,37.3
Fire inspectors,20,0,0,5,5,8,2,0,–
"Bailiffs, correctional officers, and jailers",446,3,29,129,127,99,49,9,39.7
Detectives and criminal investigators,151,0,3,32,52,41,17,6,42.3
Fish and game wardens,6,0,0,2,2,2,0,0,–
Parking enforcement workers,7,0,1,0,2,2,2,0,–
Police and sheriff's patrol officers,668,2,20,218,234,126,59,9,39.3
Transit and railroad police,8,0,0,2,3,3,0,0,–
Animal control workers,6,0,0,2,1,1,1,0,–
Private detectives and investigators,92,1,7,18,26,20,15,5,41.3
Security guards and gaming surveillance officers,963,17,137,229,152,181,165,83,41.9
Crossing guards,59,1,3,6,7,17,14,11,53.6
Transportation security screeners,27,0,1,9,7,7,3,1,–
"Lifeguards and other recreational, and all other protective service workers",146,64,39,12,7,10,12,4,21.8
Food preparation and serving related occupations,"7,747","1,189","1,846","1,808","1,119","1,028",557,201,29.3
Chefs and head cooks,347,11,33,100,100,60,35,8,38.8
First-line supervisors of food preparation and serving workers,505,16,90,131,106,93,56,13,36.8
Cooks,"1,990",207,355,480,356,359,174,57,33.8
Food preparation workers,784,153,187,154,99,110,57,24,28.0
Bartenders,392,4,71,157,72,50,28,10,31.8
"Combined food preparation and serving workers, including fast food",326,58,85,65,38,47,24,9,28.1
"Counter attendants, cafeteria, food concession, and coffee shop",255,122,72,23,13,13,9,4,21.4
Waiters and waitresses,"2,059",309,681,547,222,180,88,31,26.1
"Food servers, nonrestaurant",181,28,39,29,18,30,23,14,32.3
Dining room and cafeteria attendants and bartender helpers,347,87,84,49,42,42,28,15,25.4
Dishwashers,273,64,55,50,39,33,23,9,28.3
"Hosts and hostesses, restaurant, lounge, and coffee shop",286,128,92,23,15,12,9,7,21.4
"Food preparation and serving related workers, all other",4,0,1,0,0,1,1,0,–
Building and grounds cleaning and maintenance occupations,"5,492",174,473,"1,022","1,128","1,412",967,317,43.8
First-line supervisors of housekeeping and janitorial workers,292,0,3,35,70,98,72,14,48.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",274,1,10,59,77,74,44,9,43.5
Janitors and building cleaners,"2,186",78,189,318,393,586,459,164,46.4
Maids and housekeeping cleaners,"1,419",29,94,253,311,408,245,79,45.2
Pest control workers,75,0,7,17,22,16,10,3,41.3
Grounds maintenance workers,"1,247",65,171,341,256,231,136,48,37.1
Personal care and service occupations,"4,979",296,724,999,995,981,694,291,39.5
First-line supervisors of gaming workers,120,2,14,28,31,25,14,6,40.6
First-line supervisors of personal service workers,192,0,16,31,61,49,30,5,43.1
Animal trainers,49,1,7,9,9,15,7,1,–
Nonfarm animal caretakers,179,15,39,27,34,40,20,5,37.2
Gaming services workers,113,3,8,31,24,26,15,6,40.5
Motion picture projectionists,8,1,4,1,0,2,0,0,–
"Ushers, lobby attendants, and ticket takers",46,12,11,11,4,2,4,2,–
Miscellaneous entertainment attendants and related workers,182,41,46,30,19,17,17,12,26.4
Embalmers and funeral attendants,8,0,1,1,1,1,0,4,–
"Morticians, undertakers, and funeral directors",23,0,0,4,6,3,6,4,–
Barbers,89,0,7,21,15,13,17,15,45.1
"Hairdressers, hairstylists, and cosmetologists",758,7,94,196,174,144,104,40,39.8
Miscellaneous personal appearance workers,251,5,13,62,80,50,32,8,40.8
"Baggage porters, bellhops, and concierges",81,2,12,20,15,16,12,4,39.5
Tour and travel guides,38,5,10,4,4,5,5,5,–
Childcare workers,"1,231",126,219,215,219,229,156,66,37.2
Personal care aides,"1,057",21,129,194,189,252,189,82,43.9
Recreation and fitness workers,390,38,62,82,74,65,49,20,36.6
Residential advisors,59,3,11,13,12,11,9,1,38.6
"Personal care and service workers, all other",105,14,21,20,22,14,9,5,33.2
,,,,,,,,,
Sales and office occupations,"33,066","1,482","3,972","6,802","6,342","7,436","5,305","1,727",41.5
Sales and related occupations,"15,330",993,"2,124","3,152","2,797","3,166","2,206",893,39.9
First-line supervisors of retail sales workers,"3,217",17,271,784,676,817,489,163,42.6
First-line supervisors of non-retail sales workers,"1,088",2,34,187,276,319,201,69,46.3
Cashiers,"3,158",635,843,565,381,363,265,106,27.2
Counter and rental clerks,139,11,29,24,19,26,20,10,38.2
Parts salespersons,131,2,16,31,25,28,23,6,40.9
Retail salespersons,"3,224",273,663,639,471,535,457,188,35.9
Advertising sales agents,254,0,22,82,56,61,24,9,39.6
Insurance sales agents,531,4,26,108,112,137,99,45,45.8
"Securities, commodities, and financial services sales agents",267,0,13,81,63,54,41,15,41.7
Travel agents,69,0,5,7,13,19,14,10,51.1
"Sales representatives, services, all other",503,5,41,129,122,109,75,22,40.7
"Sales representatives, wholesale and manufacturing","1,297",13,60,266,314,361,212,71,44.6
"Models, demonstrators, and product promoters",78,9,11,13,13,11,11,9,38.9
Real estate brokers and sales agents,811,1,24,122,153,203,192,116,50.3
Sales engineers,30,0,2,2,7,12,5,2,–
Telemarketers,108,9,28,32,9,14,11,5,30.5
"Door-to-door sales workers, news and street vendors, and related workers",201,8,19,39,34,47,33,20,43.8
"Sales and related workers, all other",226,4,16,41,53,51,36,25,44.2
Office and administrative support occupations,"17,736",489,"1,848","3,650","3,546","4,270","3,099",835,42.7
First-line supervisors of office and administrative support workers,"1,423",4,49,269,361,391,296,53,45.7
"Switchboard operators, including answering service",39,0,3,12,4,5,12,4,–
Telephone operators,40,0,9,10,7,8,6,0,–
"Communications equipment operators, all other",7,0,0,3,2,2,0,0,–
Bill and account collectors,211,1,27,65,44,42,25,8,38.9
Billing and posting clerks,471,3,35,117,100,134,69,13,42.2
"Bookkeeping, accounting, and auditing clerks","1,300",4,64,192,278,362,283,117,48.5
Gaming cage workers,5,0,0,1,1,1,1,1,–
Payroll and timekeeping clerks,168,1,4,20,46,58,32,6,46.1
Procurement clerks,26,0,0,1,7,8,8,1,–
Tellers,413,17,106,111,57,59,50,14,31.8
"Financial clerks, all other",64,1,5,16,16,15,10,2,41.7
Brokerage clerks,11,0,0,3,4,2,1,0,–
Correspondence clerks,12,0,4,5,2,0,0,0,–
"Court, municipal, and license clerks",86,0,1,13,20,25,24,3,48.9
"Credit authorizers, checkers, and clerks",45,0,2,11,14,10,7,0,–
Customer service representatives,"1,916",90,305,496,378,369,229,48,37.0
"Eligibility interviewers, government programs",85,0,2,27,22,16,15,4,42.9
File clerks,334,23,48,55,63,77,49,18,40.8
"Hotel, motel, and resort desk clerks",135,5,38,40,20,13,12,7,30.1
"Interviewers, except eligibility and loan",153,6,15,39,24,36,26,8,40.8
"Library assistants, clerical",113,7,26,11,15,15,29,10,44.8
Loan interviewers and clerks,117,1,6,34,37,26,12,2,40.4
New accounts clerks,33,0,4,11,6,7,5,0,–
Order clerks,113,4,15,21,20,25,23,5,41.7
"Human resources assistants, except payroll and timekeeping",40,1,3,9,11,10,6,1,–
Receptionists and information clerks,"1,259",66,232,258,210,227,192,73,38.3
Reservation and transportation ticket agents and travel clerks,99,2,8,21,25,29,12,3,42.6
"Information and record clerks, all other",118,3,7,27,19,30,25,7,45.7
Cargo and freight agents,8,0,0,2,2,3,0,0,–
Couriers and messengers,249,3,11,41,57,78,35,24,46.5
Dispatchers,239,5,13,66,56,54,38,6,41.5
"Meter readers, utilities",28,0,6,7,6,6,1,1,–
Postal service clerks,146,0,1,8,24,46,60,6,53.1
Postal service mail carriers,348,0,9,36,71,151,71,11,49.9
"Postal service mail sorters, processors, and processing machine operators",60,0,2,10,12,18,15,3,48.1
"Production, planning, and expediting clerks",236,0,13,48,61,63,45,6,44.1
"Shipping, receiving, and traffic clerks",559,15,64,132,130,133,70,14,40.0
Stock clerks and order fillers,"1,503",126,306,351,228,262,187,43,34.2
"Weighers, measurers, checkers, and samplers, recordkeeping",70,2,2,17,14,14,17,4,44.9
Secretaries and administrative assistants,"2,871",32,150,467,565,803,670,184,47.9
Computer operators,126,2,9,22,15,41,34,3,48.9
Data entry keyers,334,6,31,91,75,80,40,10,40.0
Word processors and typists,136,2,9,22,28,37,29,9,46.5
Desktop publishers,2,0,0,0,1,0,0,1,–
Insurance claims and policy processing clerks,246,2,19,66,51,62,42,4,41.7
"Mail clerks and mail machine operators, except postal service",93,4,14,16,13,24,13,10,43.7
"Office clerks, general","1,061",46,124,211,198,255,168,61,42.2
"Office machine operators, except computer",45,1,6,11,6,14,6,2,–
Proofreaders and copy markers,7,0,0,1,1,2,3,0,–
Statistical assistants,18,0,2,5,3,5,2,2,–
"Office and administrative support workers, all other",513,4,41,124,117,118,91,20,42.4
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","13,009",278,"1,146","3,237","3,069","3,144","1,766",369,41.0
"Farming, fishing, and forestry occupations","1,001",100,136,228,189,183,117,48,37.0
"First-line supervisors of farming, fishing, and forestry workers",52,0,2,7,9,14,12,7,51.8
Agricultural inspectors,22,0,3,5,6,5,3,0,–
Animal breeders,10,2,0,1,1,2,3,1,–
"Graders and sorters, agricultural products",95,3,9,18,23,19,18,4,43.1
Miscellaneous agricultural workers,708,91,112,173,126,112,66,29,33.8
Fishers and related fishing workers,37,0,4,9,8,7,4,4,–
Hunters and trappers,2,0,0,2,0,0,0,0,–
Forest and conservation workers,14,0,1,5,2,2,3,0,–
Logging workers,61,2,4,10,14,21,9,1,44.2
Construction and extraction occupations,"7,125",118,598,"1,929","1,756","1,679",883,161,40.4
First-line supervisors of construction trades and extraction workers,634,1,15,130,159,195,117,16,45.2
Boilermakers,19,0,1,7,4,4,2,0,–
"Brickmasons, blockmasons, and stonemasons",146,2,12,39,35,37,19,2,41.8
Carpenters,"1,330",16,94,332,358,338,170,22,41.4
"Carpet, floor, and tile installers and finishers",189,7,21,61,48,35,14,4,37.0
"Cement masons, concrete finishers, and terrazzo workers",70,0,6,22,16,18,6,1,39.9
Construction laborers,"1,253",39,154,379,291,254,114,22,36.9
"Paving, surfacing, and tamping equipment operators",21,0,2,5,6,4,4,0,–
Pile-driver operators,1,0,0,0,1,0,0,0,–
Operating engineers and other construction equipment operators,369,4,22,88,85,93,62,15,43.0
"Drywall installers, ceiling tile installers, and tapers",150,1,12,50,50,20,14,2,37.6
Electricians,682,6,50,184,162,177,86,18,41.5
Glaziers,48,0,3,13,10,13,6,2,–
Insulation workers,47,1,6,15,11,8,4,0,–
"Painters, construction and maintenance",528,12,40,133,140,114,70,20,40.9
Paperhangers,8,0,0,0,1,2,4,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",519,5,30,139,138,134,66,7,41.4
Plasterers and stucco masons,24,0,0,8,8,6,2,0,–
Reinforcing iron and rebar workers,7,0,0,3,1,2,0,0,–
Roofers,222,4,31,86,42,39,14,6,34.2
Sheet metal workers,126,5,16,32,21,34,14,4,40.0
Structural iron and steel workers,66,0,6,20,21,12,7,1,38.5
Solar photovoltaic installers,5,0,1,2,1,1,0,0,–
"Helpers, construction trades",63,5,14,17,13,10,4,0,31.8
Construction and building inspectors,75,0,3,7,19,18,20,7,50.7
Elevator installers and repairers,30,0,0,7,9,10,4,0,–
Fence erectors,45,0,10,11,11,6,5,1,–
Hazardous materials removal workers,32,0,6,7,8,7,3,1,–
Highway maintenance workers,105,1,8,17,19,37,18,5,45.3
Rail-track laying and maintenance equipment operators,7,0,1,2,1,2,2,0,–
Septic tank servicers and sewer pipe cleaners,11,0,1,2,6,3,0,0,–
Miscellaneous construction and related workers,36,1,3,10,10,6,5,0,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",46,0,5,24,7,3,4,1,–
"Earth drillers, except oil and gas",23,0,1,6,5,4,4,1,–
"Explosives workers, ordnance handling experts, and blasters",9,0,0,2,2,4,2,0,–
Mining machine operators,78,0,6,22,21,16,11,1,40.3
"Roof bolters, mining",10,0,3,4,0,1,0,0,–
"Roustabouts, oil and gas",17,0,3,9,2,2,0,0,–
Helpers--extraction workers,8,0,2,4,0,0,0,1,–
Other extraction workers,68,6,8,25,14,9,4,1,31.5
"Installation, maintenance, and repair occupations","4,883",60,411,"1,080","1,123","1,283",766,160,42.6
"First-line supervisors of mechanics, installers, and repairers",313,0,8,49,57,102,87,11,49.7
"Computer, automated teller, and office machine repairers",305,3,38,72,70,69,40,12,40.6
Radio and telecommunications equipment installers and repairers,150,1,9,34,45,35,24,2,41.9
Avionics technicians,16,0,0,6,4,3,2,1,–
"Electric motor, power tool, and related repairers",35,0,1,6,10,9,7,2,–
"Electrical and electronics installers and repairers, transportation equipment",6,0,0,2,1,1,1,0,–
"Electrical and electronics repairers, industrial and utility",14,0,0,4,5,2,3,0,–
"Electronic equipment installers and repairers, motor vehicles",20,0,0,3,4,7,4,0,–
Electronic home entertainment equipment installers and repairers,38,1,4,13,8,9,2,0,–
Security and fire alarm systems installers,53,0,2,16,16,12,4,3,41.1
Aircraft mechanics and service technicians,164,0,7,36,40,56,20,5,44.0
Automotive body and related repairers,140,1,17,27,40,34,17,4,41.1
Automotive glass installers and repairers,17,0,1,4,5,5,2,0,–
Automotive service technicians and mechanics,855,12,120,206,189,198,108,21,39.1
Bus and truck mechanics and diesel engine specialists,312,3,28,75,61,82,53,10,42.4
Heavy vehicle and mobile equipment service technicians and mechanics,199,1,12,49,45,56,29,7,43.4
Small engine mechanics,52,2,8,9,6,10,11,7,45.4
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",95,10,22,19,17,18,7,1,32.0
Control and valve installers and repairers,24,0,0,8,4,6,7,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",338,5,24,99,82,83,40,4,39.4
Home appliance repairers,43,1,4,7,11,8,9,3,–
Industrial and refractory machinery mechanics,433,2,11,83,104,135,86,12,45.7
"Maintenance and repair workers, general",422,3,20,61,90,131,93,23,48.4
