,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Postsecondary teachers,"1,417",10,119,305,304,275,241,164,44.2
Preschool and kindergarten teachers,716,10,83,196,163,149,85,29,39.8
Elementary and middle school teachers,"3,421",11,148,850,925,820,481,185,42.4
Secondary school teachers,"1,062",3,46,235,300,267,153,58,43.0
Special education teachers,369,0,16,85,98,89,61,21,43.1
Other teachers and instructors,905,49,109,208,139,165,149,86,41.4
"Archivists, curators, and museum technicians",45,1,5,7,9,10,8,6,-1
Librarians,178,2,9,31,38,34,42,21,47.2
Library technicians,33,5,5,6,4,8,5,2,-1
Teacher assistants,994,28,115,181,191,228,198,54,43.9
"Other education, training, and library workers",173,3,17,39,32,41,28,13,43.4
"Arts, design, entertainment, sports, and media occupations","3,362",111,302,921,667,621,459,280,40.7
Artists and related workers,232,2,19,50,45,41,44,31,46.1
Designers,984,15,78,299,200,189,142,61,40.6
Actors,36,0,3,14,8,7,1,4,-1
Producers and directors,201,0,6,67,55,45,18,10,40.2
"Athletes, coaches, umpires, and related workers",359,65,56,89,59,48,22,19,31.6
Dancers and choreographers,24,4,7,7,3,0,2,0,-1
"Musicians, singers, and related workers",202,4,12,52,41,32,26,35,43.5
"Entertainers and performers, sports and related workers, all other",68,2,4,26,10,12,7,7,37.7
Announcers,56,3,3,17,10,9,10,5,42.6
"News analysts, reporters and correspondents",79,0,11,24,17,10,14,4,38.4
Public relations specialists,140,2,16,42,29,28,17,6,38.6
Editors,160,2,10,46,34,31,27,10,41.4
Technical writers,69,0,1,10,12,15,19,12,51.3
Writers and authors,227,1,12,50,42,47,43,33,47.7
Miscellaneous media and communication workers,111,2,12,13,24,28,19,13,47.3
Broadcast and sound engineering technicians and radio operators,120,8,17,25,24,26,12,8,40.4
Photographers,208,1,21,70,36,37,26,17,40.1
"Television, video, and motion picture camera operators and editors",82,0,13,22,17,15,10,6,38.9
"Media and communication equipment workers, all other",5,0,2,0,0,1,1,0,-1
Healthcare practitioners and technical occupations,"9,420",33,519,"2,575","2,215","1,937","1,565",576,42.4
Chiropractors,63,0,2,9,18,15,12,8,46.6
Dentists,162,0,0,39,35,25,35,28,47.5
Dietitians and nutritionists,104,1,2,23,19,27,24,8,48.2
Optometrists,54,0,0,9,8,19,9,9,51.4
Pharmacists,348,1,17,107,86,62,48,27,41.1
Physicians and surgeons,"1,094",0,5,239,271,243,211,125,46.4
Physician assistants,132,1,7,55,31,24,12,3,37.5
Podiatrists,11,0,0,0,4,3,4,0,-1
Audiologists,10,0,2,5,1,1,1,0,-1
Occupational therapists,116,0,8,39,26,24,12,6,39.2
Physical therapists,286,0,8,96,74,52,43,12,41.6
Radiation therapists,16,0,1,5,3,5,2,0,-1
Recreational therapists,11,0,0,1,3,4,3,0,-1
Respiratory therapists,108,0,1,33,23,24,17,10,43.8
Speech-language pathologists,152,0,4,48,45,32,18,5,41.2
Exercise physiologists,5,0,0,1,2,2,0,0,-1
"Therapists, all other",237,0,10,76,65,45,28,12,39.8
Veterinarians,102,0,1,26,27,22,16,10,44.6
Registered nurses,"3,213",2,155,842,745,717,589,164,43.2
Nurse anesthetists,26,0,0,10,5,6,4,1,-1
Nurse midwives,3,0,0,1,1,0,0,0,-1
Nurse practitioners,212,0,1,56,62,47,36,10,42.8
"Health diagnosing and treating practitioners, all other",40,0,0,5,11,11,10,4,-1
Clinical laboratory technologists and technicians,318,1,18,85,72,65,60,17,43.1
Dental hygienists,178,0,12,45,33,42,36,11,44.3
Diagnostic related technologists and technicians,346,2,21,90,92,71,62,7,41.8
Emergency medical technicians and paramedics,214,3,33,91,45,25,15,2,32.0
Health practitioner support technologists and technicians,694,14,111,251,138,100,66,14,34.5
Licensed practical and licensed vocational nurses,658,4,68,156,149,132,101,47,41.9
Medical records and health information technicians,171,2,3,28,46,39,42,10,46.9
"Opticians, dispensing",61,0,1,16,14,10,13,7,46.4
Miscellaneous health technologists and technicians,139,1,13,47,26,26,16,11,39.8
Other healthcare practitioners and technical occupations,137,1,16,41,33,18,21,8,38.8
,,,,,,,,,
Service occupations,"26,854","2,092","3,668","6,150","4,898","4,816","3,772","1,458",38.3
Healthcare support occupations,"3,629",95,489,951,709,684,560,141,39.2
"Nursing, psychiatric, and home health aides","2,035",61,266,461,397,410,342,97,40.8
Occupational therapy assistants and aides,35,0,0,9,9,8,8,1,-1
Physical therapist assistants and aides,88,3,15,24,13,21,11,1,36.6
Massage therapists,155,0,8,49,31,26,30,11,41.9
Dental assistants,293,7,45,92,59,53,33,5,35.8
Medical assistants,570,7,82,202,119,89,56,14,35.1
Medical transcriptionists,44,2,12,5,4,7,13,2,-1
Pharmacy aides,34,0,4,10,5,6,8,1,-1
Veterinary assistants and laboratory animal caretakers,56,4,18,19,6,5,4,0,28.5
Phlebotomists,115,1,11,36,29,22,15,2,38.6
"Miscellaneous healthcare support occupations, including medical equipment preparers",204,10,27,42,38,39,41,7,40.8
Protective service occupations,"3,203",96,286,829,743,677,416,155,40.5
First-line supervisors of correctional officers,45,0,1,6,15,17,4,1,-1
First-line supervisors of police and detectives,88,0,0,10,34,28,13,3,44.9
First-line supervisors of fire fighting and prevention workers,49,0,0,3,17,17,11,1,-1
"First-line supervisors of protective service workers, all other",86,0,4,16,14,29,18,6,47.7
Firefighters,306,2,19,87,117,59,21,1,39.3
Fire inspectors,23,0,1,5,6,6,4,1,-1
"Bailiffs, correctional officers, and jailers",406,2,38,142,81,79,50,13,38.6
Detectives and criminal investigators,164,0,2,34,53,53,19,3,43.0
Fish and game wardens,7,0,0,4,1,2,0,0,-1
Parking enforcement workers,4,0,0,0,0,3,1,0,-1
Police and sheriff's patrol officers,728,2,46,216,213,178,56,17,40.0
Transit and railroad police,2,0,0,0,0,1,1,0,-1
Animal control workers,19,0,1,8,2,4,3,1,-1
Private detectives and investigators,96,0,4,32,23,15,17,5,41.4
Security guards and gaming surveillance officers,958,18,141,237,144,160,174,84,41.2
Crossing guards,66,0,2,10,10,14,15,14,51.9
Transportation security screeners,41,0,5,13,10,5,5,2,-1
"Lifeguards and other recreational, and all other protective service workers",117,72,22,6,5,5,3,3,21.1
Food preparation and serving related occupations,"8,220","1,364","1,739","1,928","1,187","1,001",739,262,29.8
Chefs and head cooks,427,13,34,122,102,91,47,18,40.0
First-line supervisors of food preparation and serving workers,563,25,89,177,92,88,72,20,35.6
Cooks,"2,067",251,312,458,410,339,221,76,35.1
Food preparation workers,988,179,252,195,120,113,92,35,28.3
Bartenders,474,5,87,208,76,54,32,13,31.4
"Combined food preparation and serving workers, including fast food",322,79,71,71,25,28,32,15,26.4
"Counter attendants, cafeteria, food concession, and coffee shop",202,101,46,25,10,6,7,6,21.7
Waiters and waitresses,"2,020",366,602,494,233,165,129,31,26.1
"Food servers, nonrestaurant",226,35,49,42,25,27,36,13,32.7
Dining room and cafeteria attendants and bartender helpers,309,81,52,51,36,40,36,12,28.6
Dishwashers,263,66,38,44,41,37,24,12,30.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",354,160,105,37,17,13,11,10,21.6
"Food preparation and serving related workers, all other",5,1,0,3,0,0,0,0,-1
Building and grounds cleaning and maintenance occupations,"5,854",189,423,"1,118","1,181","1,367","1,152",424,44.9
First-line supervisors of housekeeping and janitorial workers,339,1,11,51,74,106,75,22,48.5
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",254,3,7,48,67,64,45,20,44.6
Janitors and building cleaners,"2,342",89,152,403,423,542,535,197,47.3
Maids and housekeeping cleaners,"1,512",35,93,247,323,399,309,107,46.2
Pest control workers,79,1,8,20,16,17,15,1,40.3
Grounds maintenance workers,"1,328",61,152,348,277,239,173,77,39.3
Personal care and service occupations,"5,947",347,730,"1,324","1,077","1,088",905,476,40.4
First-line supervisors of gaming workers,187,6,18,54,31,41,22,14,40.5
First-line supervisors of personal service workers,208,1,10,47,52,53,31,14,43.3
Animal trainers,55,6,4,19,7,10,5,5,34.3
Nonfarm animal caretakers,268,29,51,64,41,34,39,10,33.3
Gaming services workers,102,3,6,23,19,21,19,10,43.9
Motion picture projectionists,1,1,0,0,0,0,0,0,-1
"Ushers, lobby attendants, and ticket takers",35,12,6,5,2,2,3,4,-1
Miscellaneous entertainment attendants and related workers,210,58,59,30,11,13,20,19,23.7
Embalmers and funeral attendants,17,0,1,2,2,1,2,8,-1
"Morticians, undertakers, and funeral directors",34,0,1,4,4,6,12,7,-1
Barbers,132,0,10,33,29,24,17,20,43.4
"Hairdressers, hairstylists, and cosmetologists",834,11,82,210,192,161,107,70,41.4
Miscellaneous personal appearance workers,449,6,38,104,120,107,57,17,40.9
"Baggage porters, bellhops, and concierges",92,3,13,21,13,15,22,5,43.6
Tour and travel guides,65,5,15,8,9,9,12,7,38.9
Childcare workers,"1,193",127,182,245,185,199,179,76,36.8
Personal care aides,"1,354",36,134,269,225,285,267,139,45.5
Recreation and fitness workers,497,33,69,124,99,75,64,33,38.2
Residential advisors,41,2,11,11,5,6,5,2,-1
"Personal care and service workers, all other",171,10,20,49,30,23,22,17,37.0
,,,,,,,,,
Sales and office occupations,"33,461","1,714","3,995","7,106","6,099","6,471","5,752","2,324",41.4
Sales and related occupations,"15,806","1,142","2,000","3,210","2,827","2,941","2,512","1,174",40.6
First-line supervisors of retail sales workers,"3,366",30,253,832,745,710,576,218,43.0
First-line supervisors of non-retail sales workers,"1,257",4,27,218,281,337,270,119,47.9
Cashiers,"3,200",792,774,539,336,298,302,158,26.2
Counter and rental clerks,114,9,19,27,24,14,16,4,36.1
Parts salespersons,127,4,11,22,26,23,30,11,46.3
Retail salespersons,"3,147",272,607,687,419,476,446,239,35.6
Advertising sales agents,221,2,21,58,49,56,28,8,41.1
Insurance sales agents,619,1,40,117,153,115,131,62,45.5
"Securities, commodities, and financial services sales agents",231,1,14,58,53,46,41,19,43.3
Travel agents,79,0,3,11,13,21,19,12,52.0
"Sales representatives, services, all other",516,3,47,124,108,127,79,28,43.1
"Sales representatives, wholesale and manufacturing","1,273",9,64,228,288,342,262,80,46.2
"Models, demonstrators, and product promoters",60,4,9,10,4,8,9,16,49.7
Real estate brokers and sales agents,"1,072",5,51,162,220,265,221,149,48.9
Sales engineers,34,0,2,9,4,10,8,1,-1
Telemarketers,58,2,13,19,13,3,6,2,31.1
"Door-to-door sales workers, news and street vendors, and related workers",158,1,17,22,32,35,29,22,46.3
"Sales and related workers, all other",275,4,27,68,58,55,41,24,42.7
Office and administrative support occupations,"17,655",572,"1,995","3,896","3,272","3,530","3,240","1,150",42.2
First-line supervisors of office and administrative support workers,"1,450",3,66,290,335,386,288,82,45.8
"Switchboard operators, including answering service",23,0,3,2,4,5,5,3,-1
Telephone operators,30,0,4,10,5,3,4,3,-1
"Communications equipment operators, all other",9,0,1,2,2,2,1,0,-1
Bill and account collectors,122,2,16,31,36,19,12,5,38.8
Billing and posting clerks,490,2,37,106,112,115,93,25,44.0
"Bookkeeping, accounting, and auditing clerks","1,045",5,44,139,192,247,281,137,50.2
Gaming cage workers,8,0,1,4,2,1,1,0,-1
Payroll and timekeeping clerks,121,0,4,24,27,27,31,7,47.4
Procurement clerks,31,0,2,8,6,8,6,0,-1
Tellers,300,10,74,98,36,32,38,12,30.6
"Financial clerks, all other",92,0,16,30,13,14,17,2,38.7
Brokerage clerks,4,0,0,0,3,1,0,0,-1
Correspondence clerks,4,0,0,1,0,1,1,1,-1
"Court, municipal, and license clerks",83,0,2,12,21,19,23,6,49.1
"Credit authorizers, checkers, and clerks",54,0,4,14,12,14,8,1,41.9
Customer service representatives,"2,563",177,454,678,404,405,344,102,34.9
"Eligibility interviewers, government programs",68,1,2,18,16,13,12,6,43.4
File clerks,161,10,18,29,33,26,32,14,43.2
"Hotel, motel, and resort desk clerks",131,6,37,43,15,16,9,5,29.5
"Interviewers, except eligibility and loan",152,4,16,32,25,35,26,15,44.4
"Library assistants, clerical",103,4,19,21,14,10,24,9,39.3
Loan interviewers and clerks,117,1,7,35,25,21,20,9,41.4
New accounts clerks,23,3,2,4,5,3,5,1,-1
Order clerks,78,5,11,23,13,12,9,5,36.4
"Human resources assistants, except payroll and timekeeping",57,0,5,12,14,17,7,3,42.9
Receptionists and information clerks,"1,324",66,239,329,197,203,196,93,36.7
Reservation and transportation ticket agents and travel clerks,128,2,13,30,29,25,24,4,40.7
"Information and record clerks, all other",121,5,9,21,28,23,29,8,44.2
Cargo and freight agents,30,0,1,8,4,6,10,1,-1
Couriers and messengers,293,7,33,74,53,58,50,17,41.0
Dispatchers,293,4,23,76,70,62,48,9,41.5
"Meter readers, utilities",24,0,2,8,7,1,2,3,-1
Postal service clerks,120,0,6,18,24,37,30,6,48.7
Postal service mail carriers,302,0,10,63,64,75,73,16,46.7
"Postal service mail sorters, processors, and processing machine operators",58,0,1,10,12,14,18,3,49.5
"Production, planning, and expediting clerks",269,0,12,70,61,65,47,14,43.3
"Shipping, receiving, and traffic clerks",578,13,70,134,131,108,102,20,40.7
Stock clerks and order fillers,"1,527",154,331,379,224,201,173,66,31.5
"Weighers, measurers, checkers, and samplers, recordkeeping",56,0,9,13,9,10,9,6,41.7
Secretaries and administrative assistants,"2,569",22,138,427,474,646,633,228,48.7
Computer operators,73,1,7,17,15,9,14,9,42.8
Data entry keyers,270,2,25,65,57,61,47,13,42.7
Word processors and typists,67,3,7,12,11,11,17,8,45.9
Desktop publishers,1,0,0,0,0,0,1,0,-1
Insurance claims and policy processing clerks,244,1,20,66,52,51,43,11,41.6
"Mail clerks and mail machine operators, except postal service",63,2,5,13,10,17,11,6,44.1
"Office clerks, general","1,309",48,150,255,235,256,252,114,43.8
"Office machine operators, except computer",24,2,2,4,5,5,3,3,-1
Proofreaders and copy markers,11,0,0,1,1,3,4,2,-1
Statistical assistants,40,0,3,12,7,5,12,1,-1
"Office and administrative support workers, all other",540,4,34,123,124,127,92,35,43.7
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,471",356,"1,241","3,383","3,434","3,041","2,433",584,41.8
"Farming, fishing, and forestry occupations","1,121",89,136,235,226,207,169,58,39.5
"First-line supervisors of farming, fishing, and forestry workers",60,0,6,7,14,18,12,4,45.2
Agricultural inspectors,22,1,1,3,4,4,5,4,-1
Animal breeders,5,0,0,1,1,2,1,0,-1
"Graders and sorters, agricultural products",85,2,9,21,13,24,13,3,42.4
Miscellaneous agricultural workers,833,82,109,173,174,136,119,39,38.3
Fishers and related fishing workers,39,2,5,11,6,10,4,2,-1
Hunters and trappers,3,1,0,0,1,0,0,0,-1
Forest and conservation workers,16,0,0,7,3,3,3,0,-1
Logging workers,58,1,7,12,10,11,12,6,45.4
Construction and extraction occupations,"8,338",175,696,"2,025","2,100","1,728","1,304",312,41.4
First-line supervisors of construction trades and extraction workers,634,0,21,131,169,166,122,26,45.1
Boilermakers,20,1,1,3,8,7,1,0,-1
"Brickmasons, blockmasons, and stonemasons",143,1,8,23,42,33,31,4,45.3
Carpenters,"1,375",27,101,312,379,288,215,52,41.9
"Carpet, floor, and tile installers and finishers",164,1,17,35,41,38,28,4,42.5
"Cement masons, concrete finishers, and terrazzo workers",50,1,3,14,11,9,10,2,43.6
Construction laborers,"2,110",76,225,516,532,408,274,80,39.6
"Paving, surfacing, and tamping equipment operators",21,0,1,2,5,5,7,0,-1
Pile-driver operators,1,0,0,0,0,0,0,0,-1
Operating engineers and other construction equipment operators,342,2,21,82,79,76,65,17,44.0
"Drywall installers, ceiling tile installers, and tapers",164,4,20,41,46,30,19,4,38.8
Electricians,887,16,79,210,204,190,158,31,41.6
Glaziers,45,0,3,16,10,9,6,1,-1
Insulation workers,60,4,6,18,18,8,6,0,37.7
"Painters, construction and maintenance",607,14,38,150,170,116,93,27,42.0
Paperhangers,5,0,0,0,1,1,1,0,-1
"Pipelayers, plumbers, pipefitters, and steamfitters",641,9,53,155,158,141,103,22,41.8
Plasterers and stucco masons,19,0,2,8,5,4,1,0,-1
Reinforcing iron and rebar workers,3,0,0,1,0,1,0,0,-1
Roofers,201,2,20,75,54,31,14,5,37.0
Sheet metal workers,147,3,13,43,34,32,20,4,40.6
Structural iron and steel workers,60,0,5,17,17,13,7,0,39.4
Solar photovoltaic installers,16,0,5,4,3,0,2,2,-1
"Helpers, construction trades",77,9,13,24,12,10,8,1,32.8
Construction and building inspectors,108,0,3,14,20,28,32,10,51.0
Elevator installers and repairers,25,0,0,8,5,6,7,0,-1
Fence erectors,33,0,3,11,5,5,7,2,-1
Hazardous materials removal workers,36,1,1,8,9,4,11,2,-1
Highway maintenance workers,105,1,7,25,21,28,16,8,44.8
Rail-track laying and maintenance equipment operators,10,0,1,3,0,1,3,1,-1
Septic tank servicers and sewer pipe cleaners,9,0,1,3,0,5,1,0,-1
Miscellaneous construction and related workers,28,0,3,10,7,6,2,0,-1
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",30,0,5,11,7,3,4,1,-1
"Earth drillers, except oil and gas",22,0,6,6,4,2,2,2,-1
"Explosives workers, ordnance handling experts, and blasters",12,0,1,5,0,2,4,0,-1
Mining machine operators,65,0,5,18,13,12,14,2,42.8
"Roof bolters, mining",1,0,1,0,0,0,0,0,-1
"Roustabouts, oil and gas",10,0,1,5,3,0,0,1,-1
Helpers--extraction workers,2,0,0,0,0,0,0,0,-1
Other extraction workers,49,1,6,17,9,10,5,1,-1
"Installation, maintenance, and repair occupations","5,012",92,409,"1,123","1,109","1,106",961,213,42.9
"First-line supervisors of mechanics, installers, and repairers",280,0,7,42,59,80,75,16,49.4
"Computer, automated teller, and office machine repairers",185,2,15,45,39,34,42,7,42.4
Radio and telecommunications equipment installers and repairers,136,2,6,26,35,40,21,7,43.5
Avionics technicians,13,0,0,1,5,4,3,0,-1
"Electric motor, power tool, and related repairers",26,1,3,7,4,6,4,1,-1
"Electrical and electronics installers and repairers, transportation equipment",1,0,0,0,0,0,0,0,-1
"Electrical and electronics repairers, industrial and utility",11,0,2,1,4,3,2,0,-1
"Electronic equipment installers and repairers, motor vehicles",5,1,1,1,0,2,0,1,-1
Electronic home entertainment equipment installers and repairers,38,1,5,10,11,6,4,0,-1
Security and fire alarm systems installers,63,0,8,18,13,11,9,3,40.4
Aircraft mechanics and service technicians,164,1,13,37,32,33,38,8,44.3
Automotive body and related repairers,152,5,12,29,36,38,24,9,42.9
Automotive glass installers and repairers,24,0,4,6,7,5,2,0,-1
Automotive service technicians and mechanics,916,24,109,246,198,171,142,26,39.0
Bus and truck mechanics and diesel engine specialists,389,6,40,98,74,90,72,8,41.2
Heavy vehicle and mobile equipment service technicians and mechanics,211,1,17,46,45,49,43,10,44.2
Small engine mechanics,51,0,1,10,9,15,13,3,49.2
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",93,4,15,26,17,18,12,2,36.6
