,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Network and computer systems administrators,226,0,9,70,81,38,24,4,40.1
Computer network architects,127,1,1,26,49,39,5,6,41.8
"Computer occupations, all other",341,3,20,86,89,88,44,12,41.8
Actuaries,26,0,1,8,4,6,5,2,–
Mathematicians,4,0,0,1,1,0,1,0,–
Operations research analysts,130,0,3,38,29,32,21,7,43.1
Statisticians,47,0,1,16,15,10,4,1,–
Miscellaneous mathematical science occupations,3,0,1,0,0,1,1,0,–
Architecture and engineering occupations,"2,846",11,158,650,628,768,513,120,44.6
"Architects, except naval",195,0,3,45,42,55,42,8,46.1
"Surveyors, cartographers, and photogrammetrists",51,0,2,12,11,13,10,1,44.8
Aerospace engineers,119,0,4,23,30,34,24,5,46.5
Agricultural engineers,4,0,0,1,1,2,0,0,–
Biomedical engineers,10,0,1,3,3,4,0,0,–
Chemical engineers,71,0,6,17,20,14,12,2,41.4
Civil engineers,358,1,25,91,81,85,57,18,43.4
Computer hardware engineers,91,0,3,34,16,26,11,1,40.7
Electrical and electronics engineers,335,0,10,66,78,102,60,19,46.4
Environmental engineers,43,0,1,5,14,10,9,4,–
"Industrial engineers, including health and safety",197,0,16,43,41,54,39,4,44.4
Marine engineers and naval architects,8,0,0,2,3,1,1,0,–
Materials engineers,40,1,2,12,7,12,4,2,–
Mechanical engineers,288,1,26,63,63,83,43,10,43.3
"Mining and geological engineers, including mining safety engineers",9,0,0,4,1,2,2,1,–
Nuclear engineers,11,0,0,3,1,5,3,0,–
Petroleum engineers,38,0,7,8,8,6,7,2,–
"Engineers, all other",359,1,10,90,84,97,55,22,44.5
Drafters,149,1,6,41,35,32,30,4,43.6
"Engineering technicians, except drafters",395,5,32,66,77,114,87,14,46.8
Surveying and mapping technicians,77,0,4,20,14,18,18,3,45.0
"Life, physical, and social science occupations","1,316",8,82,375,284,295,210,62,42.1
Agricultural and food scientists,42,0,3,8,9,9,9,4,–
Biological scientists,101,0,7,28,21,22,20,3,41.6
Conservation scientists and foresters,25,0,0,6,6,5,7,1,–
Medical scientists,136,0,4,39,38,32,20,3,42.5
"Life scientists, all other",0,0,0,0,0,0,0,0,–
Astronomers and physicists,25,0,0,2,3,10,4,5,–
Atmospheric and space scientists,15,0,0,3,3,6,2,1,–
Chemists and materials scientists,105,0,9,32,22,29,11,2,40.4
Environmental scientists and geoscientists,105,0,3,31,22,28,16,5,43.5
"Physical scientists, all other",154,0,9,48,42,24,22,9,40.3
Economists,26,0,1,5,6,5,6,3,–
Survey researchers,2,0,0,2,0,0,0,0,–
Psychologists,178,0,0,43,38,34,46,18,47.0
Sociologists,7,0,0,2,0,2,2,1,–
Urban and regional planners,28,0,0,13,7,4,4,0,–
Miscellaneous social scientists and related workers,57,0,1,17,16,13,9,1,41.1
Agricultural and food science technicians,32,0,2,11,4,8,5,2,–
Biological technicians,19,0,2,5,3,6,1,0,–
Chemical technicians,70,0,5,26,8,18,10,2,39.4
Geological and petroleum technicians,21,0,2,7,3,8,1,0,–
Nuclear technicians,3,0,0,0,1,1,0,0,–
Social science research assistants,3,0,1,1,0,0,1,0,–
"Miscellaneous life, physical, and social science technicians",160,7,31,44,30,30,15,3,34.0
Community and social service occupations,"2,265",15,127,508,507,477,468,162,44.8
Counselors,661,5,43,157,152,127,140,35,43.9
Social workers,734,2,34,195,205,159,115,23,42.0
Probation officers and correctional treatment specialists,88,0,3,26,30,17,11,1,40.3
Social and human service assistants,151,1,18,39,27,22,35,9,42.2
"Miscellaneous community and social service specialists, including health educators and community health workers",94,1,7,21,15,30,14,5,44.4
Clergy,408,2,10,49,62,94,120,70,52.8
"Directors, religious activities and education",61,0,2,13,9,16,15,6,48.3
"Religious workers, all other",69,3,9,8,7,13,17,12,51.1
Legal occupations,"1,786",5,49,385,415,421,354,156,46.0
Lawyers,"1,061",0,1,213,258,240,223,125,47.5
Judicial law clerks,17,0,2,5,2,2,6,1,–
"Judges, magistrates, and other judicial workers",67,0,0,9,9,16,26,8,53.2
Paralegals and legal assistants,418,3,38,104,97,100,62,13,41.4
Miscellaneous legal support workers,223,1,8,55,49,63,38,9,44.4
"Education, training, and library occupations","8,543",114,602,"2,003","1,877","1,937","1,543",468,43.2
Postsecondary teachers,"1,350",6,95,304,262,274,274,136,45.2
Preschool and kindergarten teachers,678,15,70,183,161,145,82,22,39.5
Elementary and middle school teachers,"2,838",8,117,722,731,647,502,111,43.0
Secondary school teachers,"1,127",3,53,303,272,268,184,44,42.8
Special education teachers,366,3,13,94,70,106,67,14,44.7
Other teachers and instructors,860,48,137,178,126,144,158,69,40.5
"Archivists, curators, and museum technicians",46,1,3,5,10,10,12,6,–
Librarians,181,1,7,24,31,46,57,15,51.1
Library technicians,45,6,7,8,6,5,12,1,–
Teacher assistants,898,18,92,152,180,254,164,36,44.1
"Other education, training, and library workers",153,3,8,31,29,37,31,14,46.4
"Arts, design, entertainment, sports, and media occupations","2,814",78,285,706,592,564,415,175,41.0
Artists and related workers,212,0,10,44,53,42,46,17,45.7
Designers,756,7,61,196,174,176,107,35,41.6
Actors,37,2,7,10,9,5,3,1,–
Producers and directors,121,0,10,37,28,22,19,4,41.1
"Athletes, coaches, umpires, and related workers",267,44,60,48,38,38,30,9,31.1
Dancers and choreographers,21,4,5,9,3,0,0,0,–
"Musicians, singers, and related workers",203,7,18,51,35,34,38,20,43.3
"Entertainers and performers, sports and related workers, all other",41,2,5,14,6,6,2,5,–
Announcers,50,0,5,9,14,13,5,5,44.1
"News analysts, reporters and correspondents",82,1,12,20,11,20,15,5,42.8
Public relations specialists,155,0,11,46,39,25,27,8,41.1
Editors,159,2,21,41,30,30,23,11,40.4
Technical writers,58,0,1,8,17,18,10,3,44.8
Writers and authors,208,1,13,48,27,49,42,28,47.3
Miscellaneous media and communication workers,98,2,8,27,21,21,13,7,40.3
Broadcast and sound engineering technicians and radio operators,108,2,14,32,23,22,12,3,37.5
Photographers,178,4,19,49,44,30,20,12,39.2
"Television, video, and motion picture camera operators and editors",57,1,5,16,18,12,3,2,39.6
"Media and communication equipment workers, all other",2,0,0,1,0,0,0,0,–
Healthcare practitioners and technical occupations,"7,977",31,358,"1,969","1,968","1,823","1,487",341,43.6
Chiropractors,58,0,0,9,17,15,10,6,47.3
Dentists,167,0,0,17,39,51,37,22,51.7
Dietitians and nutritionists,116,2,4,24,22,26,32,6,47.4
Optometrists,33,0,0,8,3,10,7,4,–
Pharmacists,286,0,8,94,73,49,45,16,41.2
Physicians and surgeons,911,0,3,179,238,218,181,92,46.9
Physician assistants,108,0,5,34,35,22,11,2,39.6
Podiatrists,9,0,0,0,3,3,3,0,–
Audiologists,14,0,0,5,5,2,2,0,–
Occupational therapists,118,0,2,38,34,26,16,3,41.4
Physical therapists,211,1,6,74,53,46,27,5,39.9
Radiation therapists,14,0,0,5,5,2,1,0,–
Recreational therapists,13,0,0,6,2,4,1,1,–
Respiratory therapists,111,0,3,27,34,24,20,3,43.2
Speech-language pathologists,146,0,4,50,40,21,29,1,41.6
Exercise physiologists,2,0,0,0,1,1,0,0,–
"Therapists, all other",148,1,12,41,40,25,23,6,40.8
Veterinarians,85,1,1,19,30,16,14,3,43.2
Registered nurses,"2,875",1,104,655,695,699,626,95,45.0
Nurse anesthetists,27,0,0,1,9,8,9,0,–
Nurse midwives,3,0,0,0,1,0,2,0,–
Nurse practitioners,103,0,0,15,38,26,23,2,45.4
"Health diagnosing and treating practitioners, all other",23,0,0,3,3,9,7,1,–
Clinical laboratory technologists and technicians,319,1,17,81,62,86,57,15,44.7
Dental hygienists,163,0,8,47,42,38,25,2,41.4
Diagnostic related technologists and technicians,308,2,14,80,89,64,52,6,42.2
Emergency medical technicians and paramedics,172,5,17,73,40,25,10,1,33.8
Health practitioner support technologists and technicians,544,9,96,179,106,90,50,14,34.9
Licensed practical and licensed vocational nurses,531,3,25,127,133,140,85,18,43.2
Medical records and health information technicians,90,1,4,19,17,25,19,4,45.7
"Opticians, dispensing",54,0,7,7,10,12,17,2,48.1
Miscellaneous health technologists and technicians,140,2,10,31,33,31,26,7,43.1
Other healthcare practitioners and technical occupations,75,1,6,19,17,9,19,3,42.3
,,,,,,,,,
Service occupations,"25,459","1,812","3,917","5,658","4,800","4,949","3,190","1,133",37.9
Healthcare support occupations,"3,496",69,528,911,667,710,478,133,38.9
"Nursing, psychiatric, and home health aides","2,119",41,311,489,393,463,323,98,40.6
Occupational therapy assistants and aides,18,0,4,9,2,2,1,0,–
Physical therapist assistants and aides,66,0,14,20,14,9,7,2,34.8
Massage therapists,158,1,17,46,32,27,25,9,40.4
Dental assistants,274,5,39,87,61,51,26,4,36.5
Medical assistants,429,3,67,163,96,59,36,5,33.6
Medical transcriptionists,55,0,2,6,10,20,13,5,52.6
Pharmacy aides,45,1,13,11,7,4,9,0,–
Veterinary assistants and laboratory animal caretakers,47,4,14,14,6,3,6,0,–
Phlebotomists,119,1,14,38,21,32,10,3,39.3
"Miscellaneous healthcare support occupations, including medical equipment preparers",166,13,32,27,26,40,22,7,38.6
Protective service occupations,"3,096",92,231,754,792,684,402,140,40.9
First-line supervisors of correctional officers,46,0,0,8,13,17,5,3,–
First-line supervisors of police and detectives,112,0,0,8,41,44,17,3,45.6
First-line supervisors of fire fighting and prevention workers,64,0,0,6,21,23,15,0,46.4
"First-line supervisors of protective service workers, all other",93,0,2,13,24,23,24,8,49.5
Firefighters,295,0,21,97,97,59,20,1,38.3
Fire inspectors,18,0,2,4,4,6,3,0,–
"Bailiffs, correctional officers, and jailers",371,5,22,95,124,89,32,4,40.2
Detectives and criminal investigators,160,0,1,30,56,47,20,5,43.2
Fish and game wardens,7,0,0,1,3,2,1,0,–
Parking enforcement workers,4,0,0,0,1,2,0,0,–
Police and sheriff's patrol officers,657,2,25,200,216,148,53,14,40.0
Transit and railroad police,3,0,0,0,2,0,0,0,–
Animal control workers,11,0,0,5,2,2,1,1,–
Private detectives and investigators,103,1,5,25,25,23,17,7,43.5
Security guards and gaming surveillance officers,903,16,114,231,146,163,163,70,41.0
Crossing guards,61,1,3,7,6,17,14,14,54.4
Transportation security screeners,25,0,2,8,6,7,1,0,–
"Lifeguards and other recreational, and all other protective service workers",162,67,35,15,6,13,16,10,22.6
Food preparation and serving related occupations,"8,018","1,143","1,939","1,896","1,151","1,077",609,203,29.6
Chefs and head cooks,403,7,45,125,96,77,48,6,38.4
First-line supervisors of food preparation and serving workers,552,23,113,149,103,93,57,14,34.9
Cooks,"1,970",202,358,506,349,313,178,63,33.7
Food preparation workers,868,144,233,178,100,110,80,22,27.9
Bartenders,412,5,82,148,66,69,30,12,31.9
"Combined food preparation and serving workers, including fast food",343,57,89,55,44,56,32,11,29.2
"Counter attendants, cafeteria, food concession, and coffee shop",233,109,62,21,17,14,7,3,21.8
Waiters and waitresses,"2,124",307,697,544,250,212,87,28,26.6
"Food servers, nonrestaurant",217,28,48,38,32,37,24,10,31.8
Dining room and cafeteria attendants and bartender helpers,359,94,76,52,40,47,30,20,27.1
Dishwashers,271,56,52,57,40,35,23,8,30.4
"Hosts and hostesses, restaurant, lounge, and coffee shop",260,111,81,23,12,13,13,7,21.6
"Food preparation and serving related workers, all other",6,1,3,0,1,0,0,0,–
Building and grounds cleaning and maintenance occupations,"5,591",196,481,990,"1,185","1,431",970,338,44.1
First-line supervisors of housekeeping and janitorial workers,277,3,8,39,56,92,65,14,48.8
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",281,3,7,48,83,68,57,15,45.3
Janitors and building cleaners,"2,205",80,182,334,394,585,454,176,47.1
Maids and housekeeping cleaners,"1,457",32,108,249,354,391,242,81,44.2
Pest control workers,73,1,4,16,18,21,10,4,43.8
Grounds maintenance workers,"1,298",77,171,303,280,275,143,48,38.4
Personal care and service occupations,"5,258",312,738,"1,107","1,004","1,047",731,319,39.6
First-line supervisors of gaming workers,146,1,16,29,37,37,21,4,42.6
First-line supervisors of personal service workers,246,1,13,49,75,63,34,11,42.8
Animal trainers,44,1,9,9,8,12,3,3,–
Nonfarm animal caretakers,179,16,50,33,25,29,21,5,31.7
Gaming services workers,106,2,8,25,28,22,15,6,43.0
Motion picture projectionists,2,0,0,1,0,0,0,0,–
"Ushers, lobby attendants, and ticket takers",43,14,17,5,2,1,3,2,–
Miscellaneous entertainment attendants and related workers,180,45,45,25,16,18,16,14,26.0
Embalmers and funeral attendants,16,1,0,1,3,4,1,6,–
"Morticians, undertakers, and funeral directors",38,0,2,11,4,7,10,4,–
Barbers,109,2,6,34,22,17,14,14,39.9
"Hairdressers, hairstylists, and cosmetologists",785,12,79,209,170,159,111,46,40.6
Miscellaneous personal appearance workers,300,4,17,80,96,61,35,8,39.9
"Baggage porters, bellhops, and concierges",68,1,7,15,10,19,8,7,42.1
Tour and travel guides,51,3,14,9,6,6,6,8,35.4
Childcare workers,"1,314",139,221,242,214,258,166,74,37.3
Personal care aides,"1,071",29,129,200,185,253,192,84,43.9
Recreation and fitness workers,406,33,69,100,75,57,56,15,36.4
Residential advisors,58,1,14,11,9,15,7,1,37.7
"Personal care and service workers, all other",95,8,21,22,19,8,12,6,34.4
,,,,,,,,,
Sales and office occupations,"33,152","1,534","4,157","6,712","6,318","7,207","5,398","1,826",41.4
Sales and related occupations,"15,457","1,051","2,226","3,065","2,870","3,098","2,234",914,39.7
First-line supervisors of retail sales workers,"3,237",23,259,773,732,791,485,174,42.7
First-line supervisors of non-retail sales workers,"1,151",0,25,186,319,326,223,72,46.1
Cashiers,"3,275",677,913,559,371,354,288,113,26.3
Counter and rental clerks,139,10,28,32,24,22,18,4,34.6
Parts salespersons,106,3,15,21,22,26,17,2,40.5
Retail salespersons,"3,341",294,708,658,486,543,450,201,35.2
Advertising sales agents,230,2,23,73,50,49,24,9,38.6
Insurance sales agents,540,4,27,118,111,134,101,45,45.8
"Securities, commodities, and financial services sales agents",280,1,21,75,65,66,35,17,41.7
Travel agents,73,0,3,10,14,15,16,16,52.9
"Sales representatives, services, all other",457,3,41,107,109,106,75,16,42.0
"Sales representatives, wholesale and manufacturing","1,277",8,62,241,319,366,217,64,45.1
"Models, demonstrators, and product promoters",65,5,8,12,3,11,18,9,50.2
Real estate brokers and sales agents,761,1,24,89,153,185,191,116,50.8
Sales engineers,27,0,0,6,6,9,5,0,–
Telemarketers,97,8,30,24,12,8,11,4,29.3
"Door-to-door sales workers, news and street vendors, and related workers",198,7,19,40,32,43,31,26,43.8
"Sales and related workers, all other",204,4,18,40,41,44,30,26,43.4
Office and administrative support occupations,"17,695",483,"1,931","3,647","3,448","4,110","3,164",912,42.9
First-line supervisors of office and administrative support workers,"1,416",7,41,287,347,392,291,50,45.3
"Switchboard operators, including answering service",35,1,5,9,3,7,6,4,–
Telephone operators,42,1,8,12,4,10,5,1,–
"Communications equipment operators, all other",9,0,0,4,1,2,1,0,–
Bill and account collectors,206,2,25,63,46,35,29,6,39.3
Billing and posting clerks,475,4,27,110,109,118,93,14,43.6
"Bookkeeping, accounting, and auditing clerks","1,268",7,63,164,249,351,310,124,49.7
Gaming cage workers,8,0,1,2,2,2,1,0,–
Payroll and timekeeping clerks,155,0,4,20,35,58,31,5,47.7
Procurement clerks,27,0,0,7,7,5,7,1,–
Tellers,380,13,107,85,68,57,36,15,31.8
"Financial clerks, all other",52,2,5,11,8,13,10,3,40.7
Brokerage clerks,5,0,1,0,3,0,0,0,–
Correspondence clerks,6,0,1,2,2,1,1,0,–
"Court, municipal, and license clerks",85,0,3,16,15,28,19,4,47.6
"Credit authorizers, checkers, and clerks",43,0,4,9,11,13,6,0,–
Customer service representatives,"1,956",92,333,508,381,348,237,58,36.6
"Eligibility interviewers, government programs",92,0,2,23,20,20,21,6,46.1
File clerks,292,27,34,51,45,69,49,17,41.9
"Hotel, motel, and resort desk clerks",110,8,34,32,16,10,7,3,29.3
"Interviewers, except eligibility and loan",135,3,16,35,25,27,27,3,41.3
"Library assistants, clerical",97,3,16,11,11,22,22,12,48.7
Loan interviewers and clerks,144,0,7,50,34,33,16,3,40.2
New accounts clerks,26,0,5,6,6,6,2,1,–
Order clerks,104,5,14,25,19,20,15,5,40.2
"Human resources assistants, except payroll and timekeeping",132,0,13,37,34,20,25,3,40.4
Receptionists and information clerks,"1,237",56,234,276,215,211,179,65,37.4
Reservation and transportation ticket agents and travel clerks,117,3,11,26,29,29,16,2,40.6
"Information and record clerks, all other",104,2,5,21,24,23,23,7,45.9
Cargo and freight agents,25,0,0,4,4,12,4,1,–
Couriers and messengers,213,3,16,40,49,45,38,22,45.2
Dispatchers,277,3,19,85,64,61,38,6,40.3
"Meter readers, utilities",29,0,4,8,6,8,1,1,–
Postal service clerks,148,1,1,8,20,47,65,5,53.5
Postal service mail carriers,318,0,1,31,65,126,83,10,51.1
"Postal service mail sorters, processors, and processing machine operators",66,1,5,6,10,21,19,3,50.6
"Production, planning, and expediting clerks",272,2,15,69,59,62,55,10,44.1
"Shipping, receiving, and traffic clerks",527,11,74,126,112,116,71,16,39.6
Stock clerks and order fillers,"1,453",124,308,315,217,244,172,73,34.9
"Weighers, measurers, checkers, and samplers, recordkeeping",74,1,8,22,20,11,10,1,37.9
Secretaries and administrative assistants,"2,904",28,163,465,559,792,685,212,48.5
Computer operators,102,2,9,15,23,31,17,5,45.6
Data entry keyers,337,9,40,88,58,80,54,9,40.4
Word processors and typists,119,1,7,24,23,34,23,7,46.3
Desktop publishers,3,0,0,0,2,1,1,0,–
Insurance claims and policy processing clerks,230,0,17,70,41,60,34,7,41.6
"Mail clerks and mail machine operators, except postal service",81,2,11,9,12,18,21,9,49.9
"Office clerks, general","1,103",45,147,220,192,261,172,66,41.6
"Office machine operators, except computer",46,2,8,10,6,9,9,2,–
Proofreaders and copy markers,10,0,2,1,0,2,4,1,–
Statistical assistants,32,0,4,9,6,7,3,3,–
"Office and administrative support workers, all other",570,9,54,121,126,131,99,29,42.8
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","12,821",295,"1,067","3,077","3,045","3,092","1,840",404,41.5
"Farming, fishing, and forestry occupations",994,88,134,232,191,185,117,47,37.4
"First-line supervisors of farming, fishing, and forestry workers",50,0,2,9,11,15,8,5,46.2
Agricultural inspectors,16,0,0,2,6,4,3,1,–
Animal breeders,6,0,0,1,1,2,1,1,–
"Graders and sorters, agricultural products",118,4,8,30,24,30,19,3,41.4
Miscellaneous agricultural workers,711,79,119,172,135,108,68,31,34.1
Fishers and related fishing workers,33,0,0,5,5,10,6,5,–
Hunters and trappers,2,0,0,2,0,0,0,0,–
Forest and conservation workers,9,2,1,1,1,2,2,0,–
Logging workers,49,2,3,11,8,15,9,1,–
Construction and extraction occupations,"7,005",132,544,"1,773","1,701","1,706",957,192,41.4
First-line supervisors of construction trades and extraction workers,634,0,14,131,152,188,115,34,46.3
Boilermakers,23,0,2,4,4,6,5,2,–
"Brickmasons, blockmasons, and stonemasons",122,5,8,27,40,28,12,2,40.9
Carpenters,"1,223",22,81,308,308,295,175,34,41.8
"Carpet, floor, and tile installers and finishers",150,2,18,38,36,36,19,1,39.7
"Cement masons, concrete finishers, and terrazzo workers",68,0,6,20,18,19,4,1,40.2
Construction laborers,"1,387",45,161,412,313,282,140,33,38.2
"Paving, surfacing, and tamping equipment operators",23,0,2,6,6,4,3,0,–
Pile-driver operators,4,0,0,1,1,0,2,0,–
Operating engineers and other construction equipment operators,348,5,22,69,74,94,75,10,45.4
"Drywall installers, ceiling tile installers, and tapers",129,2,10,42,39,24,11,1,38.5
Electricians,692,6,42,150,172,196,111,15,43.4
Glaziers,46,0,2,18,12,6,6,2,–
Insulation workers,44,1,4,11,17,8,2,0,–
"Painters, construction and maintenance",485,12,38,124,113,117,66,15,41.2
Paperhangers,7,0,1,2,0,2,0,1,–
"Pipelayers, plumbers, pipefitters, and steamfitters",534,7,36,129,135,150,62,15,41.7
Plasterers and stucco masons,18,1,2,3,7,4,0,0,–
Reinforcing iron and rebar workers,8,0,1,5,0,0,0,0,–
Roofers,196,3,15,70,47,41,17,4,37.8
Sheet metal workers,123,2,8,26,29,32,23,3,43.1
Structural iron and steel workers,65,1,5,17,28,10,4,0,38.4
Solar photovoltaic installers,7,0,1,1,4,1,1,0,–
"Helpers, construction trades",53,4,8,20,12,5,4,0,31.6
Construction and building inspectors,118,1,4,12,20,32,40,9,51.8
Elevator installers and repairers,29,0,0,5,7,13,4,0,–
Fence erectors,33,3,6,6,6,11,2,0,–
Hazardous materials removal workers,38,1,5,8,10,10,1,2,–
Highway maintenance workers,108,3,4,17,25,31,24,5,46.9
Rail-track laying and maintenance equipment operators,10,0,0,4,1,5,1,0,–
Septic tank servicers and sewer pipe cleaners,8,0,1,0,5,1,0,0,–
Miscellaneous construction and related workers,32,0,1,12,5,7,7,0,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",37,1,6,13,10,6,1,0,–
"Earth drillers, except oil and gas",35,0,6,7,10,7,3,1,–
"Explosives workers, ordnance handling experts, and blasters",8,0,1,2,1,3,0,0,–
Mining machine operators,65,1,8,20,16,14,7,0,37.2
"Roof bolters, mining",3,0,0,2,0,1,0,0,–
"Roustabouts, oil and gas",14,2,3,4,1,3,1,0,–
Helpers--extraction workers,5,0,2,1,0,0,2,0,–
Other extraction workers,75,3,10,26,16,14,4,0,35.6
"Installation, maintenance, and repair occupations","4,821",75,390,"1,071","1,153","1,201",766,165,42.4
"First-line supervisors of mechanics, installers, and repairers",292,1,6,47,72,84,73,10,47.7
"Computer, automated teller, and office machine repairers",296,2,29,73,73,67,40,13,40.9
Radio and telecommunications equipment installers and repairers,158,1,10,39,47,31,25,5,41.3
Avionics technicians,14,0,1,3,3,6,1,0,–
"Electric motor, power tool, and related repairers",37,1,5,11,8,7,3,1,–
"Electrical and electronics installers and repairers, transportation equipment",5,0,0,1,1,2,1,0,–
"Electrical and electronics repairers, industrial and utility",12,0,0,3,2,4,3,1,–
"Electronic equipment installers and repairers, motor vehicles",18,0,0,5,4,4,5,0,–
Electronic home entertainment equipment installers and repairers,50,1,5,14,12,13,2,2,37.8
Security and fire alarm systems installers,41,0,4,11,11,10,3,2,–
Aircraft mechanics and service technicians,153,0,11,33,28,49,26,5,44.8
Automotive body and related repairers,140,4,12,36,37,27,18,5,40.0
Automotive glass installers and repairers,22,0,2,6,9,3,2,0,–
Automotive service technicians and mechanics,867,19,107,202,203,194,121,23,39.8
Bus and truck mechanics and diesel engine specialists,316,6,25,75,64,77,56,14,42.9
Heavy vehicle and mobile equipment service technicians and mechanics,194,1,10,39,44,61,32,6,45.3
Small engine mechanics,56,1,5,18,13,9,7,3,38.0
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",87,7,23,24,17,13,3,1,30.2
Control and valve installers and repairers,27,0,1,5,7,10,3,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",340,5,27,96,81,87,37,6,40.2
Home appliance repairers,47,0,4,13,8,9,9,5,–
Industrial and refractory machinery mechanics,454,4,18,71,105,138,102,15,46.8
